OBJECTID,INTR_ID,GIS_XCOORD,GIS_YCOORD,COMPKEY,COMPTYPE,UNITID,SUBAREA,UNITDESC,ARTERIALCLASSCD,SE_ANNO_CAD_DATA,SIGNAL_MAINT_DIST,SIGNAL_TYPE,SHAPE_LNG,SHAPE_LAT,x,y
11994677,3881,1269634.58411,260144.60793,37285,13,232111,NW,ASHWORTH AVE N AND N 103RD ST,0,System.Byte[], ,NONE,-122.339287805445,47.7032301785833,1269634.58411288,260144.607934326
11994678,8981,1284475.61146,240014.16132,27383,13,25324,NE,WEBSTER POINT RD NE AND DEAD END,0,System.Byte[], ,NONE,-122.277490375442,47.6488328210436,1284475.61145608,240014.161321715
11994679,13399,1273896.87301,216957.77858,31252,13,51128,GRDWM,11TH AVE S AND BEACON AVE S,2,System.Byte[], ,NONE,-122.31859567492,47.5850834952763,1273896.87301326,216957.778578103
11994680,5706,1277243.78527,251979.00537,24775,13,6720,NE,19TH AVE NE AND NE 73RD ST,0,System.Byte[], ,NONE,-122.307754870502,47.6812524397594,1277243.78527269,251979.005365968
11994681,13772,1273168.27781,215047.11182,31299,13,51316,GRDWM,AIRPORT WAY S AND S LANDER N ST,1,System.Byte[], ,CITY,-122.321397757501,47.5798078124612,1273168.27781251,215047.11182414
11994682,2739,1271400.49899,268572.4185,35952,13,220708,NW,BAGLEY AVE N AND DEAD END 3,0,System.Byte[], ,NONE,-122.332784117852,47.7264249654353,1271400.49899469,268572.418502957
11994683,3546,1267998.06878,262168.25235,36404,13,225716,NW,WHITMAN AVE N AND DEAD END,0,System.Byte[], ,NONE,-122.346094451764,47.7086889046381,1267998.06878321,262168.252352402
11994684,14078,1279860.65721,213532.73947,31512,13,52456,SE,30TH AVE S AND S MOUNT BAKER WB S BV,3,System.Byte[], ,NONE,-122.294170819839,47.5760084357747,1279860.65721136,213532.739470601
11994685,14959,1258588.13521,210475.50248,31889,13,54316,SW,38TH AVE SW AND SW DAKOTA ST,0,System.Byte[], ,NONE,-122.380087590731,47.566489128033,1258588.13520558,210475.50247547
11994686,3897,1266982.78814,260074.18541,37392,13,232513,NW,FREMONT AVE N AND N 102ND ST,0,System.Byte[], ,NONE,-122.350049824151,47.7028943919683,1266982.78814217,260074.185406253
11994687,10480,1262917.30564,233648.18013,28622,13,34181,MGNL-QA,6TH AVE W AND DEAD END 3,0,System.Byte[], ,NONE,-122.364422497788,47.6302414139565,1262917.30564201,233648.180131197
11994688,6969,1259627.88817,247451.45029,25149,13,11301,BLRD,17TH AVE NW AND NW 54TH ST,0,System.Byte[], ,NONE,-122.378884589888,47.6678950846176,1259627.88816664,247451.450289324
11994689,4620,1270923.04671,256676.48966,37592,13,233728,NW,MERIDIAN AVE N AND N 90TH S ST,0,System.Byte[], ,NONE,-122.333781359257,47.6937932036081,1270923.04670621,256676.489658773
11994690,15344,1271736.44447,208289.8907,32387,13,57731,GRDWM,6TH AVE S AND S ALASKA ST,0,System.Byte[], ,NONE,-122.326666756317,47.5612103924812,1271736.44446704,208289.890697226
11994691,16282,1284997.91264,204094.50228,33522,13,66335,SE,48TH AVE S AND S MEAD ST,0,System.Byte[], ,NONE,-122.272646362561,47.5504035423194,1284997.91264062,204094.502276927
11994692,11220,1282910.41235,229978.41398,29469,13,38734,E,LAKE WASHINGTON BLVD E AND MCGILVRA BLVD E,3,System.Byte[], ,NONE,-122.283072376403,47.6212441294689,1282910.41235049,229978.413983434
11994693,11636,1279961.80153,227858.06864,30005,13,41128,CNTRL,29TH AVE AND E PINE ST,0,System.Byte[], ,NONE,-122.294863275971,47.6152793736568,1279961.80153146,227858.068637267
11994694,5152,1274207.08025,254314.13036,24389,13,5118,N,8TH AVE NE AND NE 81ST ST,0,System.Byte[], ,NONE,-122.320263483938,47.6874927924767,1274207.08024557,254314.13036035
11994695,13640,1273477.65023,215798.7035,31334,13,51458,GRDWM,S STACY ST AND DEAD END 1,0,System.Byte[], ,NONE,-122.320203346892,47.5818843018564,1273477.65022883,215798.70350492
11994696,4561,1283619.80064,256801.22131,38454,13,235721,NE,42ND AVE NE AND NE 92ND S ST,0,System.Byte[], ,NONE,-122.282244030083,47.6948020553678,1283619.80063921,256801.221306905
11994697,18220,1272965.4334,194347.35961,286961,13,78453,GRDWM,DUWAMISH RIVER TRL AND S HENDERSON ST,,System.Byte[], ,NONE,-122.320598716799,47.5230594685673,1272965.43339629,194347.359610945
11994698,11969,1269058.7733,225881.38742,29592,13,39318,DWNTN,2ND AVE AND PIKE ST,1,System.Byte[], ,CITY,-122.338903694973,47.6092851430709,1269058.7732963,225881.387419239
11994699,11471,1278931.97036,228737.72611,30040,13,41164,CNTRL,E HOWELL ST AND DEAD END,0,System.Byte[], ,NONE,-122.299105832167,47.6176368159976,1278931.97036241,228737.72611016
11994700,9266,1256971.28452,238592.09924,27647,13,27528,MGNL-QA,25TH AVE W AND W RAYE ST,0,System.Byte[], ,NONE,-122.388937558035,47.6434654928378,1256971.28451592,238592.099240258
11994701,6852,1254846.03626,247814.10603,25064,13,10301,BLRD,32ND AVE NW AND NW MARKET ST,3,System.Byte[], ,NONE,-122.3983178549,47.6686241787713,1254846.03625774,247814.106033698
11994702,11168,1268928.17694,230113.764,28790,13,35336,LKUN,9TH AVE N AND THOMAS ST,1,System.Byte[], ,NONE,-122.339768874637,47.6208789307226,1268928.17694417,230113.763999581
11994703,6584,1273065.9564,248776.85087,25827,13,14518,LKUN-NW,4TH AVE NE AND NE 60TH ST,0,System.Byte[], ,NONE,-122.324460076617,47.6722547467388,1273065.9564044,248776.85086669
11994704,14415,1280887.64755,212224.25358,32644,13,59521,SE,34TH AVE S AND S HINDS ST,0,System.Byte[], ,NONE,-122.289910505333,47.5724752416448,1280887.64754841,212224.253581256
11994705,4836,1261301.80254,255711.22348,37268,13,231744,BLRD,13TH AVE NW AND NW 85TH ST,1,System.Byte[], ,NONE,-122.372762834174,47.6906265429034,1261301.80253635,255711.223481789
11994706,3650,1271632.33259,261419.46157,36590,13,226727,NW,CORLISS AVE N AND CORLISS AV I5 SB ON RP,5,System.Byte[], ,NONE,-122.331276654417,47.7068313818188,1271632.33259493,261419.461567625
11994707,13282,1279245.24499,217516.13506,31413,13,52119,SE,28TH AVE S AND S GRAND ST,0,System.Byte[], ,NONE,-122.296970553006,47.5868948525993,1279245.24498673,217516.135058671
11994708,13277,1278436.84127,217535.10159,31416,13,52122,SE,25TH AVE S AND S GRAND ST,0,System.Byte[], ,NONE,-122.300247259055,47.5869046446301,1278436.8412739,217535.101586699
11994709,14623,1281553.00179,211885.53409,32655,13,59534,SE,COURTLAND PL S AND S SPOKANE ST,0,System.Byte[], ,NONE,-122.287189644,47.5715813013024,1281553.00178909,211885.534092903
11994710,14024,1280938.99475,213781.98568,30870,13,46730,SE,34TH AVE S AND S MOUNT BAKER EB BV,3,System.Byte[], ,NONE,-122.289821956345,47.5767476498205,1280938.99474846,213781.985678852
11994711,8014,1268010.22264,243919.3356,26819,13,22134,LKUN,WOODLAND PARK AVE N AND N MOTOR PL,0,System.Byte[], ,NONE,-122.344589595505,47.6586701205957,1268010.22263923,243919.335597709
11994712,9906,1277058.58898,236174.73297,28440,13,31717,NE,19TH AVE E AND BOYER AVE E,2,System.Byte[], ,NONE,-122.307277799493,47.6379234778665,1277058.58898449,236174.732965782
11994713,15419,1256200.91472,207910.48743,32845,13,61503,SW,45TH AVE SW AND SW EDMUNDS ST,0,System.Byte[], ,NONE,-122.389545295066,47.5593266576787,1256200.91472313,207910.487432837
11994714,13473,1280208.58348,216613.23919,31445,13,52155,SE,31ST AVE S AND S HILL ST,3,System.Byte[], ,NONE,-122.292998195347,47.5844701759117,1280208.58348371,216613.23918575
11994715,10529,1262911.98494,233414.53124,28580,13,34138,MGNL-QA,6TH AVE W AND W HIGHLAND DR,0,System.Byte[], ,NONE,-122.364425220691,47.629600704815,1262911.98493801,233414.53123495
11994716,14552,1275301.82994,212023.1492,32532,13,58524,GRDWM,16TH AVE S AND S SPOKANE ST,2,System.Byte[], ,NONE,-122.312519407205,47.5716319424316,1275301.82994269,212023.149197057
11994717,16563,1257033.35607,202710.87757,33751,13,68107,SW,42ND AVE SW AND FAUNTLEROY WAY SW,1,System.Byte[], ,NONE,-122.385749740714,47.5451209673026,1257033.35606799,202710.877571508
11994718,15004,1271758.32146,210225.57582,32390,13,57853,GRDWM,6TH AVE S AND S INDUSTRIAL EB WAY,2,System.Byte[], ,NONE,-122.326730296665,47.5665172215148,1271758.32145907,210225.575819209
11994719,10677,1268048.42219,232736.14941,28727,13,35120,MGNL-QA,AURORA AVE N AND WARD ST,1,System.Byte[], ,NONE,-122.343544142415,47.6280195218017,1268048.42219126,232736.149410263
11994720,8565,1264431.2538,242014.36689,26678,13,21311,LKUN,LEARY WAY NW AND NW 36TH E ST,1,System.Byte[], ,NONE,-122.358956327565,47.6532551089465,1264431.25380357,242014.366891757
11994721,18231,1270709.7324,194304.60556,35191,13,78707,GRDWM,4TH AVE S AND S HENDERSON S ST,0,System.Byte[], ,NONE,-122.329723048022,47.5228224098054,1270709.732402,194304.60556291
11994722,5535,1273586.31352,252607.44108,24608,13,5851,NW,NE MAPLE LEAF PL AND DEAD END,0,System.Byte[], ,NONE,-122.322649278431,47.6827819014208,1273586.31352493,252607.441078603
11994723,4088,1258282.54391,259090.05459,36913,13,230145,BLRD,23RD AVE NW AND NW 97TH ST,0,System.Byte[], ,NONE,-122.385296142044,47.6997214383424,1258282.54390927,259090.054589242
11994724,4898,1280848.15878,255438.45113,37684,13,234350,NE,32ND AVE NE AND NE 86TH ST,0,System.Byte[], ,NONE,-122.293391673619,47.6909231110752,1280848.15878037,255438.451129511
11994725,15294,1256897.12029,208545.76423,31916,13,54344,SW,CALIFORNIA AVE SW AND SW ALASKA ST,2,System.Byte[], ,CITY,-122.38677811225,47.5611064677374,1256897.12029184,208545.764233485
11994726,11096,1279569.95923,230505.52694,29258,13,37327,CNTRL,E ARTHUR PL AND E HARRISON ST,0,System.Byte[], ,NONE,-122.296655782075,47.6225156286436,1279569.95922707,230505.526943982
11994727,11788,1281055.70489,226968.29123,30263,13,42556,CNTRL,33RD AVE AND E UNION ST,3,System.Byte[], ,NONE,-122.29036060899,47.6128973600855,1281055.70489259,226968.291228354
11994728,8034,1282149.42214,243817.73585,27409,13,25520,NE,NE 42ND ST AND DEAD END 2,0,System.Byte[], ,NONE,-122.287217683163,47.6591383501456,1282149.4221417,243817.735853612
11994729,12968,1278903.40819,219252.06133,30684,13,45362,CNTRL,26TH AVE S AND S WADSWORTH PL,0,System.Byte[], ,NONE,-122.298489419969,47.5916351851244,1278903.40818638,219252.061332449
11994730,15580,1281722.71801,207167.5849,33567,13,66510,SE,37TH AVE S AND S EDMUNDS ST,0,System.Byte[], ,NONE,-122.286141448783,47.5586581763181,1281722.71801327,207167.584904075
11994731,2860,1263781.98609,267573.28916,35624,13,218317,NW,6TH AVE NW AND NW 130TH ST,0,System.Byte[], ,NONE,-122.363652187509,47.7232752933043,1263781.9860909,267573.289157927
11994732,16067,1286107.52237,205143.76026,33684,13,67533,SE,52ND AVE S AND WILSON N AVE S,2,System.Byte[], ,NONE,-122.268233118841,47.5533363763322,1286107.52236976,205143.760262012
11994733,8993,1262609.56318,239964.02859,26779,13,21751,MGNL-QA,W ETRURIA ST AND DEAD END,0,System.Byte[], ,NONE,-122.366180497818,47.6475360097273,1262609.56317769,239964.028585657
11994734,10982,1275149.07397,231226.06941,29007,13,36319,E,14TH AVE E AND E MERCER ST,0,System.Byte[], ,NONE,-122.314635398621,47.6242587677231,1275149.07397453,231226.069408715
11994735,3995,1265651.67953,259577.54541,37396,13,232517,NW,GREENWOOD AVE N AND N 100TH ST,2,System.Byte[], ,NONE,-122.355414876816,47.7014610846135,1265651.67953281,259577.545405746
11994736,5374,1274197.683,253257.60914,24415,13,5144,N,8TH AVE NE AND NE 77TH ST,0,System.Byte[], ,NONE,-122.320218756679,47.6845964006505,1274197.68299755,253257.609143272
11994737,9429,1261439.71358,237974.57041,27902,13,28556,MGNL-QA,WESTVIEW DR W AND W HALLADAY ST,0,System.Byte[], ,NONE,-122.370764342464,47.642019049025,1261439.7135765,237974.570407629
11994738,6547,1285043.06464,248891.98021,26101,13,16112,NE,ANN ARBOR AVE NE AND NE 60TH ST,0,System.Byte[], ,NONE,-122.275863695206,47.673196127957,1285043.06464067,248891.980210811
11994739,2528,1280356.97132,270425.44839,36003,13,221117,N,30TH AVE NE AND NE 143RD ST,3,System.Byte[], ,NONE,-122.29654264306,47.7319766702037,1280356.97132386,270425.448392853
11994740,14569,1263328.44497,211988.21774,286979,13,55275,DLRD,22ND AVE SW CONNCTR TRL AND DELRIDGE CONNCTR TRL,0,System.Byte[], ,NONE,-122.361011712264,47.5708949661611,1263328.44497043,211988.217741013
11994741,13113,1277921.68607,218514.56117,287008,13,45867,SE,MOUNTAINS TO SOUND TRL AND S ATLANTIC ST,0,System.Byte[], ,NONE,-122.302410167667,47.5895623967866,1277921.68607338,218514.561171696
11994742,15034,1278884.17619,209929.77959,335198,13,58453,GRDWM,29TH AVE S AND S DAKOTA ST,0,System.Byte[], ,NONE,-122.297848430947,47.5660818588413,1278884.17618637,209929.779594913
11994743,3315,1281471.04492,263973.73562,36629,13,227132,N,33RD PL NE AND 35TH AVE NE,2,System.Byte[], ,NONE,-122.291519628602,47.7143505975134,1281471.044925,263973.735618249
11994744,7482,1264048.80516,245546.93138,25363,13,12364,LKUN,3RD AVE NW AND NW 47TH S ST,3,System.Byte[], ,NONE,-122.360792236488,47.662916882631,1264048.80516317,245546.931375384
11994745,3932,1266714.88696,259815.72857,37403,13,232524,NW,EVANSTON AVE N AND N 101ST ST,0,System.Byte[], ,NONE,-122.351116932623,47.7021714961292,1266714.8869579,259815.728573993
11994746,9763,1267254.81809,236795.85706,27995,13,29705,MGNL-QA,5TH AVE N AND LYNN ST,0,System.Byte[], ,NONE,-122.347085753449,47.6391042709869,1267254.81809445,236795.857062414
11994747,9433,1261891.51492,237963.85476,27904,13,28558,MGNL-QA,9TH AVE W AND W HALLADAY ST,0,System.Byte[], ,NONE,-122.368931097445,47.6420144064355,1261891.51492096,237963.854759619
11994748,16806,1255818.70442,201708.36339,165436,13,68530,SW,45TH AVE SW AND SW WILLOW ST,0,System.Byte[], ,NONE,-122.390584700053,47.5423058698575,1255818.70441875,201708.363394484
11994749,5355,1275438.33503,253341.42585,24413,13,5142,NE,12TH AVE NE AND NE 77TH ST,1,System.Byte[], ,NONE,-122.315189385429,47.6848917401345,1275438.33503084,253341.425847366
11994750,3228,1276303.48575,264597.64141,36449,13,226124,N-NW,15TH AVE NE AND NE 120TH ST,1,System.Byte[], ,HALFPED,-122.312555980243,47.7157903568824,1276303.48575172,264597.641410887
11994751,18273,1272947.6396,194052.50828,35133,13,78323,GRDWM,S DIRECTOR ST AND DEAD END 4 ,0,System.Byte[], ,NONE,-122.320647657688,47.5222503443349,1272947.63960429,194052.508282647
11994752,14294,1282351.5815,212654.57038,32637,13,59511,SE,BELLA VISTA AVE S AND S HORTON ST,0,System.Byte[], ,NONE,-122.28401386679,47.5737305445921,1282351.58150192,212654.570381701
11994753,4705,1279534.87417,256265.78297,37665,13,234325,NE,27TH AVE NE AND NE 89TH ST,0,System.Byte[], ,NONE,-122.298787055102,47.693122387155,1279534.87417103,256265.782970354
