hour,start_edge,start_edge_vph,route_probability_sum,route_count
0,-A0_0,109.25551419334013,0.9999999999999982,37
0,-A0_1,109.25551419334013,0.9999999999999981,37
0,-A1_1,109.25551419334008,0.9999999999999976,37
0,-A2_0,109.25551419334013,0.9999999999999982,37
0,-A2_1,109.25551419334012,0.9999999999999981,37
0,-B0_0,109.25551419334008,0.9999999999999978,37
0,-B2_0,109.25551419334008,0.9999999999999978,37
0,-C0_0,109.25551419334012,0.999999999999998,37
0,-C0_1,109.25551419334012,0.999999999999998,37
0,-C1_1,109.25551419334008,0.9999999999999976,37
0,-C2_0,109.25551419334012,0.999999999999998,37
0,-C2_1,109.25551419334012,0.999999999999998,37
1,-A0_0,71.58057890558902,0.9999999999999982,37
1,-A0_1,71.58057890558902,0.9999999999999981,37
1,-A1_1,71.58057890558898,0.9999999999999976,37
1,-A2_0,71.58057890558902,0.9999999999999982,37
1,-A2_1,71.58057890558902,0.9999999999999981,37
1,-B0_0,71.580578905589,0.9999999999999978,37
1,-B2_0,71.580578905589,0.9999999999999978,37
1,-C0_0,71.58057890558901,0.999999999999998,37
1,-C0_1,71.58057890558901,0.999999999999998,37
1,-C1_1,71.58057890558898,0.9999999999999976,37
1,-C2_0,71.58057890558901,0.999999999999998,37
1,-C2_1,71.58057890558901,0.999999999999998,37
2,-A0_0,55.698117791313166,0.9999999999999982,37
2,-A0_1,55.69811779131316,0.9999999999999981,37
2,-A1_1,55.69811779131314,0.9999999999999976,37
2,-A2_0,55.698117791313166,0.9999999999999982,37
2,-A2_1,55.698117791313166,0.9999999999999981,37
2,-B0_0,55.69811779131314,0.9999999999999978,37
2,-B2_0,55.69811779131314,0.9999999999999978,37
2,-C0_0,55.69811779131315,0.999999999999998,37
2,-C0_1,55.69811779131315,0.999999999999998,37
2,-C1_1,55.69811779131314,0.9999999999999976,37
2,-C2_0,55.69811779131315,0.999999999999998,37
2,-C2_1,55.69811779131315,0.999999999999998,37
3,-A0_0,42.553752597241726,0.9999999999999982,37
3,-A0_1,42.553752597241726,0.9999999999999981,37
3,-A1_1,42.5537525972417,0.9999999999999976,37
3,-A2_0,42.553752597241726,0.9999999999999982,37
3,-A2_1,42.553752597241726,0.9999999999999981,37
3,-B0_0,42.553752597241704,0.9999999999999978,37
3,-B2_0,42.553752597241704,0.9999999999999978,37
3,-C0_0,42.553752597241726,0.999999999999998,37
3,-C0_1,42.553752597241726,0.999999999999998,37
3,-C1_1,42.5537525972417,0.9999999999999976,37
3,-C2_0,42.553752597241726,0.999999999999998,37
3,-C2_1,42.55375259724172,0.999999999999998,37
4,-A0_0,64.70829853914863,0.9999999999999982,37
4,-A0_1,64.70829853914861,0.9999999999999981,37
4,-A1_1,64.70829853914859,0.9999999999999976,37
4,-A2_0,64.70829853914863,0.9999999999999982,37
4,-A2_1,64.70829853914861,0.9999999999999981,37
4,-B0_0,64.70829853914859,0.9999999999999978,37
4,-B2_0,64.70829853914859,0.9999999999999978,37
4,-C0_0,64.70829853914861,0.999999999999998,37
4,-C0_1,64.70829853914861,0.999999999999998,37
4,-C1_1,64.70829853914859,0.9999999999999976,37
4,-C2_0,64.70829853914861,0.999999999999998,37
4,-C2_1,64.70829853914861,0.999999999999998,37
5,-A0_0,160.55360979555758,0.9999999999999982,37
5,-A0_1,160.55360979555755,0.9999999999999981,37
5,-A1_1,160.55360979555746,0.9999999999999976,37
5,-A2_0,160.55360979555758,0.9999999999999982,37
5,-A2_1,160.55360979555758,0.9999999999999981,37
5,-B0_0,160.5536097955575,0.9999999999999978,37
5,-B2_0,160.5536097955575,0.9999999999999978,37
5,-C0_0,160.55360979555755,0.999999999999998,37
5,-C0_1,160.55360979555755,0.999999999999998,37
5,-C1_1,160.55360979555746,0.9999999999999976,37
5,-C2_0,160.55360979555755,0.999999999999998,37
5,-C2_1,160.55360979555755,0.999999999999998,37
6,-A0_0,357.3351567298048,0.9999999999999982,37
6,-A0_1,357.33515672980485,0.9999999999999981,37
6,-A1_1,357.33515672980457,0.9999999999999976,37
6,-A2_0,357.3351567298048,0.9999999999999982,37
6,-A2_1,357.3351567298048,0.9999999999999981,37
6,-B0_0,357.3351567298047,0.9999999999999978,37
6,-B2_0,357.3351567298047,0.9999999999999978,37
6,-C0_0,357.3351567298048,0.999999999999998,37
6,-C0_1,357.3351567298048,0.999999999999998,37
6,-C1_1,357.3351567298046,0.9999999999999976,37
6,-C2_0,357.3351567298048,0.999999999999998,37
6,-C2_1,357.3351567298048,0.999999999999998,37
7,-A0_0,588.0880845517509,0.9999999999999982,37
7,-A0_1,588.0880845517507,0.9999999999999981,37
7,-A1_1,588.0880845517505,0.9999999999999976,37
7,-A2_0,588.0880845517509,0.9999999999999982,37
7,-A2_1,588.0880845517507,0.9999999999999981,37
7,-B0_0,588.0880845517505,0.9999999999999978,37
7,-B2_0,588.0880845517505,0.9999999999999978,37
7,-C0_0,588.0880845517507,0.999999999999998,37
7,-C0_1,588.0880845517507,0.999999999999998,37
7,-C1_1,588.0880845517505,0.9999999999999976,37
7,-C2_0,588.0880845517507,0.999999999999998,37
7,-C2_1,588.0880845517507,0.999999999999998,37
8,-A0_0,652.6756453428062,0.9999999999999982,37
8,-A0_1,652.6756453428061,0.9999999999999981,37
8,-A1_1,652.6756453428058,0.9999999999999976,37
8,-A2_0,652.6756453428062,0.9999999999999982,37
8,-A2_1,652.6756453428061,0.9999999999999981,37
8,-B0_0,652.6756453428059,0.9999999999999978,37
8,-B2_0,652.6756453428059,0.9999999999999978,37
8,-C0_0,652.6756453428061,0.999999999999998,37
8,-C0_1,652.6756453428061,0.999999999999998,37
8,-C1_1,652.6756453428058,0.9999999999999976,37
8,-C2_0,652.6756453428061,0.999999999999998,37
8,-C2_1,652.6756453428061,0.999999999999998,37
9,-A0_0,591.0994283895815,0.9999999999999982,37
9,-A0_1,591.0994283895814,0.9999999999999981,37
9,-A1_1,591.0994283895811,0.9999999999999976,37
9,-A2_0,591.0994283895815,0.9999999999999982,37
9,-A2_1,591.0994283895814,0.9999999999999981,37
9,-B0_0,591.0994283895811,0.9999999999999978,37
9,-B2_0,591.0994283895811,0.9999999999999978,37
9,-C0_0,591.0994283895814,0.999999999999998,37
9,-C0_1,591.0994283895814,0.999999999999998,37
9,-C1_1,591.0994283895811,0.9999999999999976,37
9,-C2_0,591.0994283895814,0.999999999999998,37
9,-C2_1,591.0994283895814,0.999999999999998,37
10,-A0_0,558.2411485076757,0.9999999999999982,37
10,-A0_1,558.2411485076757,0.9999999999999981,37
10,-A1_1,558.2411485076753,0.9999999999999976,37
10,-A2_0,558.2411485076757,0.9999999999999982,37
10,-A2_1,558.2411485076757,0.9999999999999981,37
10,-B0_0,558.2411485076755,0.9999999999999978,37
10,-B2_0,558.2411485076755,0.9999999999999978,37
10,-C0_0,558.2411485076757,0.999999999999998,37
