base_hourly_rate_per_entry,alpha_straight,departure_constant,demand_scale,scaled_hourly_rate_per_entry,scaled_total_network_vph_expected
242.79003154075627,0.7062830229923848,0.2937169770076152,0.45,109.25551419334033,874.0441135467227
159.06795312353145,0.7062830229923848,0.2937169770076152,0.45,71.58057890558915,572.6446312447132
123.77359509180725,0.7062830229923848,0.2937169770076152,0.45,55.698117791313265,445.5849423305061
94.56389466053734,0.7062830229923848,0.2937169770076152,0.45,42.553752597241804,340.43002077793443
143.7962189758861,0.7062830229923848,0.2937169770076152,0.45,64.70829853914874,517.6663883131899
356.78579954568414,0.7062830229923848,0.2937169770076152,0.45,160.55360979555786,1284.428878364463
794.0781260662344,0.7062830229923848,0.2937169770076152,0.45,357.3351567298055,2858.681253838444
1306.8624101150042,0.7062830229923848,0.2937169770076152,0.45,588.0880845517519,4704.704676414015
1450.3903229840164,0.7062830229923848,0.2937169770076152,0.45,652.6756453428073,5221.405162742459
1313.5542853101833,0.7062830229923848,0.2937169770076152,0.45,591.0994283895825,4728.79542711666
1240.535885572615,0.7062830229923848,0.2937169770076152,0.45,558.2411485076767,4465.929188061414
1318.3644761176627,0.7062830229923848,0.2937169770076152,0.45,593.2640142529482,4746.1121140235855
1401.756711468318,0.7062830229923848,0.2937169770076152,0.45,630.7905201607431,5046.324161285945
1426.6079569876836,0.7062830229923848,0.2937169770076152,0.45,641.9735806444576,5135.788645155661
1507.601734285483,0.7062830229923848,0.2937169770076152,0.45,678.4207804284673,5427.3662434277385
1651.769073234534,0.7062830229923848,0.2937169770076152,0.45,743.2960829555403,5946.368663644323
1774.2678476961562,0.7062830229923848,0.2937169770076152,0.45,798.4205314632703,6387.364251706163
1812.467471699093,0.7062830229923848,0.2937169770076152,0.45,815.6103622645919,6524.882898116735
1517.0082549863494,0.7062830229923848,0.2937169770076152,0.45,682.6537147438572,5461.229717950858
1132.164128634349,0.7062830229923848,0.2937169770076152,0.45,509.47385788545705,4075.7908630836564
915.1862283472209,0.7062830229923848,0.2937169770076152,0.45,411.8338027562494,3294.670422049995
794.8345023216002,0.7062830229923848,0.2937169770076152,0.45,357.67552604472013,2861.404208357761
576.4452162214683,0.7062830229923848,0.2937169770076152,0.45,259.4003472996607,2075.202778397286
362.15783112456904,0.7062830229923848,0.2937169770076152,0.45,162.97102400605607,1303.7681920484486
