metric,condition,group,mean_improvement_percent,ci95_low,ci95_high,hedges_g,n
average_travel_time,2x2 \alpha=0.5,Saturated,-0.11372728311808009,-0.6212138530117821,0.1411589895988023,-0.09638191936532584,20
average_travel_time,2x2 \alpha=0.7,Saturated,1.0028756290438547,0.22847129506008237,1.711512786279141,0.5490177052022511,20
average_travel_time,2x2 \alpha=1.0,Saturated,0.5572485851110087,0.06965607313887223,0.9229429690901112,0.5346812897723732,20
average_travel_time,3x3 \alpha=0.5,Saturated,-8.46564885496184,-10.731878180661585,-6.29832220101782,-1.5611610671557856,20
average_travel_time,3x3 \alpha=0.7,Saturated,-0.5222171323866234,-1.7127424034203682,0.7965592711355425,-0.16938223500455235,20
average_travel_time,3x3 \alpha=1.0,Saturated,0.6248154709182097,-0.23072593740774275,1.4592836581045106,0.30345383357654293,20
average_travel_time,2x2 full day,Seattle,3.015088916831331,2.4905694269804237,3.4982935153583634,2.4116184453296636,20
average_travel_time,2x2 PM peak,Seattle,5.250352758978405,3.9129357364183006,6.542255902876651,1.631317387432401,20
average_travel_time,3x3 full day,Seattle,1.5780836421386994,1.2572789835892022,1.8840656431974607,2.028605492119112,20
average_travel_time,3x3 PM peak,Seattle,0.6381761197026898,0.23844072847853043,1.021959573495529,0.6762875120581102,20
average_waiting_time,2x2 \alpha=0.5,Saturated,2.2280300555374066,1.4407056517477954,2.6249591636720027,1.2188943430551482,20
average_waiting_time,2x2 \alpha=0.7,Saturated,0.890797231479103,0.37554473211996553,1.3445590874134772,0.7531439585988409,20
average_waiting_time,2x2 \alpha=1.0,Saturated,1.4459704586680555,0.8966053381705162,1.8579942990412104,1.231406319487566,20
average_waiting_time,3x3 \alpha=0.5,Saturated,-3.963190184049078,-5.0466564417177935,-2.9054907975460096,-1.5207656684959954,20
average_waiting_time,3x3 \alpha=0.7,Saturated,-0.47312815801561836,-1.1483693155718888,0.3146531924666969,-0.26082824836579976,20
average_waiting_time,3x3 \alpha=1.0,Saturated,-0.007405578869418788,-0.7862564798815147,0.7924895087632639,-0.0038162709535603,20
average_waiting_time,2x2 full day,Seattle,6.84001981178802,5.9658246656760845,7.677067855373954,3.2874857414459417,20
average_waiting_time,2x2 PM peak,Seattle,8.024960962206752,6.099818038612387,9.903938359232216,1.7294771624447733,20
average_waiting_time,3x3 full day,Seattle,5.914512922465208,5.326375082836315,6.459575878064942,4.265170985684188,20
average_waiting_time,3x3 PM peak,Seattle,1.231906212572072,0.8987226627579381,1.54525646130137,1.5531863975261424,20
throughput,2x2 \alpha=0.5,Saturated,-0.3064202334630351,-0.5301556420233464,-0.1945525291828794,-0.587988657735597,20
throughput,2x2 \alpha=0.7,Saturated,1.5463362068965518,0.6196120689655172,2.3706896551724137,0.7133168888906867,20
throughput,2x2 \alpha=1.0,Saturated,1.1814345991561181,0.9563994374120958,1.350210970464135,2.456192174891859,20
throughput,3x3 \alpha=0.5,Saturated,11.981317600786628,10.383480825958703,13.594026548672566,3.035332136943697,20
throughput,3x3 \alpha=0.7,Saturated,4.24468085106383,2.8882978723404253,5.75531914893617,1.2176464722658458,20
throughput,3x3 \alpha=1.0,Saturated,0.6498015873015873,0.183531746031746,1.1160714285714284,0.5711459203619695,20
throughput,2x2 full day,Seattle,-0.04241513017330062,-0.06465142043206458,-0.02168236131993353,-0.7968000618916486,20
throughput,2x2 PM peak,Seattle,1.3286486486486484,1.0178378378378379,1.618918918918919,1.798977121576988,20
throughput,3x3 full day,Seattle,-0.03414307674610727,-0.1135662522091041,0.04475854099783532,-0.1753096344369332,20
throughput,3x3 PM peak,Seattle,-0.005500146670577898,-0.1994719859196245,0.17491383103549416,-0.01192976618271671,20
