hour,average_travel_time_mean,average_travel_time_standard_deviation,average_travel_time_median,average_travel_time_min,average_travel_time_max,average_travel_time_count,average_waiting_time_mean,average_waiting_time_standard_deviation,average_waiting_time_median,average_waiting_time_min,average_waiting_time_max,average_waiting_time_count,completed_vehicles_mean,completed_vehicles_standard_deviation,completed_vehicles_median,completed_vehicles_min,completed_vehicles_max,completed_vehicles_count
0,69.0475,8.20683099618848,68.17,60.69,78.27,12,24.1025,6.5766337410286395,23.765,17.48,31.13,12,963,0.0,963.0,963,963,12
1,65.19333333333333,7.57802844752612,61.105,57.99,78.17,12,22.3475,6.064247124072219,18.994999999999997,16.27,31.63,12,572,0.0,572.0,572,572,12
2,68.38,9.472794538236135,64.83500000000001,58.75,83.55,12,24.2025,6.829549599151669,22.03,17.02,33.63,12,440,0.0,440.0,440,440,12
3,65.19666666666667,5.119421723972228,63.985,60.28,80.63,12,22.4625,3.9397072456996325,21.945,18.13,34.14,12,344,0.0,344.0,344,344,12
4,66.00833333333334,6.060985268439649,63.754999999999995,61.99,79.67,12,22.870833333333334,4.210585056159241,21.200000000000003,19.63,32.0,12,496,0.0,496.0,496,496,12
5,67.54,7.7317609425490685,61.78,61.03,77.26,12,22.635833333333334,6.419798153628611,17.99,16.99,30.54,12,1363,0.0,1363.0,1363,1363,12
6,67.16333333333334,2.93962067229255,65.33000000000001,64.53,70.65,12,21.194166666666668,3.316532850962757,19.229999999999997,17.96,25.25,12,3123,0.0,3123.0,3123,3123,12
7,73.195,1.430597459423542,72.72,71.95,76.68,12,21.985,0.7184389643209403,21.83,21.08,23.41,12,5249,47.86913980274291,5238.5,5203,5375,12
8,82.59333333333333,1.5691707904804277,82.93,80.01,84.35,12,25.310833333333335,0.43880951206507324,25.380000000000003,24.51,25.81,12,6002,41.08970231534461,6003.0,5949,6058,12
9,75.9575,1.4663382035781267,75.91,73.95,77.75,12,22.856666666666666,0.5993683543885381,22.945,21.94,23.61,12,5345,35.941872263672934,5349.0,5284,5394,12
10,71.68666666666667,0.645224884451268,71.645,70.78,73.0,12,21.36916666666667,0.8597511091571617,21.195,20.51,23.85,12,4995.333333333333,17.322257533607047,4993.0,4980,5045,12
11,78.3225,4.266815131176457,77.325,73.57,90.25,12,23.688333333333333,1.5306613741857609,23.29,21.87,27.93,12,5429,119.06911667369732,5407.5,5288,5761,12
12,77.81083333333333,1.1103681480673084,77.525,76.2,80.06,12,23.66,0.513030213535226,23.545,23.05,24.81,12,5707.25,32.61936123336457,5702.5,5649,5755,12
13,85.25666666666666,1.5177874646599192,85.00999999999999,83.07,88.07,12,26.161666666666665,0.4599571785075283,26.119999999999997,25.4,27.09,12,5961.083333333333,36.51514837168351,5951.5,5919,6027,12
14,97.635,2.3200019592468197,97.78999999999999,94.18,100.72,12,30.268333333333334,0.7854915465471093,30.049999999999997,29.2,31.59,12,6422.083333333333,62.152975988623616,6401.0,6351,6550,12
15,118.93583333333333,3.009770327490528,118.69,114.1,123.51,12,36.526666666666664,0.7150757535627488,36.36,35.54,37.85,12,6821.166666666667,32.00520790954705,6824.0,6761,6859,12
16,129.54083333333332,1.5304631404390068,129.29000000000002,127.25,132.4,12,39.00833333333333,0.39138061765854976,38.995000000000005,38.39,39.83,12,6849.583333333333,50.967830020216645,6849.5,6726,6923,12
17,129.22083333333333,1.587167049312779,128.985,126.78,131.98,12,38.925,0.38944015761556544,38.925,38.32,39.6,12,6787.583333333333,64.45640998286197,6773.0,6714,6907,12
18,130.78666666666666,1.9641437335542948,130.63,127.23,134.63,12,38.63916666666667,0.45496170335001956,38.599999999999994,38.06,39.55,12,6706.75,69.7125591919484,6713.0,6577,6843,12
19,100.75916666666667,4.671889744833326,99.0,93.77,108.06,12,30.744166666666665,1.291394301684905,30.305,28.74,32.69,12,5656.416666666667,141.08247641544696,5632.5,5412,5916,12
20,66.39333333333333,1.1650542970829791,66.15,65.54,70.0,12,19.234166666666667,1.5945159330047658,18.91,18.27,24.15,12,3604.9166666666665,0.28867513459481287,3605.0,3604,3605,12
21,68.69916666666667,2.8653175560432564,70.51,64.39,71.16,12,22.84,3.3578212633140017,25.095,18.04,25.62,12,3130,0.0,3130.0,3130,3130,12
22,69.11416666666666,5.6215712108615925,72.80000000000001,62.49,74.75,12,23.3525,5.361657011511545,27.075000000000003,17.03,28.47,12,2249,0.0,2249.0,2249,2249,12
23,71.45416666666667,7.843007839451453,76.175,60.65,78.83,12,25.809166666666666,6.433342773583904,29.915,16.95,31.42,12,1350.5833333333333,1.0836246694508316,1350.0,1349,1353,12
