route_id,start_edge,route_edges,movement_sequence,turns,intersections,raw_probability,normalized_probability
r0,-A0_0,-A0_0 A0_1,left,1,1,0.4,0.4952377933788689
r1,-A0_0,-A0_0 A0B0 B0C0 C0_1,right straight straight,1,3,0.016000000000000004,0.01980951173515476
r2,-A0_0,-A0_0 A0B0 B0C0 C0_0,right straight right,2,3,0.03200000000000001,0.03961902347030952
r3,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1B1 B1A1 A1_1,right straight left left straight straight,3,6,0.0005120000000000002,0.0006339043755249524
r4,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1_1,right straight left right,3,4,0.012800000000000004,0.01584760938812381
r5,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2B2 B2A2 A2_1,right straight left straight left straight straight,3,7,0.00010240000000000005,0.00012678087510499048
r6,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2_1,right straight left straight right,3,5,0.002560000000000001,0.003169521877624762
r7,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2_0,right straight left straight straight,2,5,0.0012800000000000005,0.001584760938812381
r8,-A0_0,-A0_0 A0B0 B0_0,right right,2,2,0.16000000000000003,0.19809511735154758
r9,-A0_0,-A0_0 A0B0 B0B1 B1A1 A1_1,right left left straight,3,4,0.012800000000000004,0.01584760938812381
r10,-A0_0,-A0_0 A0B0 B0B1 B1C1 C1_1,right left right straight,3,4,0.012800000000000004,0.01584760938812381
r11,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2A2 A2_1,right left straight left straight,3,5,0.002560000000000001,0.003169521877624762
r12,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2C2 C2_1,right left straight right straight,3,5,0.002560000000000001,0.003169521877624762
r13,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2_0,right left straight straight,2,4,0.006400000000000002,0.007923804694061905
r14,-A0_0,-A0_0 A0A1 A1_1,straight left,1,2,0.08000000000000002,0.09904755867577379
r15,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1_1,straight right straight straight,1,4,0.003200000000000001,0.003961902347030952
r16,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C0 C0_1,straight right straight right left,3,5,0.002560000000000001,0.003169521877624762
r17,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C0 C0_0,straight right straight right straight,2,5,0.0012800000000000005,0.001584760938812381
r18,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C2 C2B2 B2A2 A2_1,straight right straight left left straight straight,3,7,0.00010240000000000005,0.00012678087510499048
r19,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C2 C2_1,straight right straight left right,3,5,0.002560000000000001,0.003169521877624762
r20,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C2 C2_0,straight right straight left straight,2,5,0.0012800000000000005,0.001584760938812381
r21,-A0_0,-A0_0 A0A1 A1B1 B1B0 B0C0 C0_1,straight right right left straight,3,5,0.002560000000000001,0.003169521877624762
r22,-A0_0,-A0_0 A0A1 A1B1 B1B0 B0_0,straight right right straight,2,4,0.006400000000000002,0.007923804694061905
r23,-A0_0,-A0_0 A0A1 A1B1 B1B2 B2A2 A2_1,straight right left left straight,3,5,0.002560000000000001,0.003169521877624762
r24,-A0_0,-A0_0 A0A1 A1B1 B1B2 B2C2 C2_1,straight right left right straight,3,5,0.002560000000000001,0.003169521877624762
r25,-A0_0,-A0_0 A0A1 A1B1 B1B2 B2_0,straight right left straight,2,4,0.006400000000000002,0.007923804694061905
r26,-A0_0,-A0_0 A0A1 A1A2 A2_1,straight straight left,1,3,0.016000000000000004,0.01980951173515476
r27,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2C2 C2_1,straight straight right straight straight,1,5,0.0006400000000000003,0.0007923804694061905
r28,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2C2 C2C1 C1_1,straight straight right straight right left,3,6,0.0005120000000000002,0.0006339043755249524
r29,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2C2 C2C1 C1C0 C0_1,straight straight right straight right straight left,3,7,0.00010240000000000005,0.00012678087510499048
r30,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2C2 C2C1 C1C0 C0_0,straight straight right straight right straight straight,2,7,5.1200000000000025e-05,6.339043755249524e-05
r31,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2C2 C2_0,straight straight right straight left,2,5,0.0012800000000000005,0.001584760938812381
r32,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2B1 B1C1 C1_1,straight straight right right left straight,3,6,0.0005120000000000002,0.0006339043755249524
r33,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2B1 B1B0 B0C0 C0_1,straight straight right right straight left straight,3,7,0.00010240000000000005,0.00012678087510499048
r34,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2B1 B1B0 B0_0,straight straight right right straight straight,2,6,0.0002560000000000001,0.0003169521877624762
r35,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2_0,straight straight right left,2,4,0.006400000000000002,0.007923804694061905
r36,-A0_0,-A0_0 A0A1 A1A2 A2_0,straight straight straight,0,3,0.008000000000000002,0.00990475586757738
r37,-B0_0,-B0_0 B0A0 A0_1,left straight,1,2,0.08000000000000002,0.10047423840527289
r38,-B0_0,-B0_0 B0A0 A0_0,left left,2,2,0.16000000000000003,0.20094847681054578
r39,-B0_0,-B0_0 B0A0 A0A1 A1_1,left right left,3,3,0.06400000000000002,0.08037939072421832
r40,-B0_0,-B0_0 B0A0 A0A1 A1B1 B1C1 C1_1,left right right straight straight,3,5,0.002560000000000001,0.0032151756289687332
r41,-B0_0,-B0_0 B0A0 A0A1 A1A2 A2_1,left right straight left,3,4,0.012800000000000004,0.016075878144843663
r42,-B0_0,-B0_0 B0A0 A0A1 A1A2 A2B2 B2C2 C2_1,left right straight right straight straight,3,6,0.0005120000000000002,0.0006430351257937466
r43,-B0_0,-B0_0 B0A0 A0A1 A1A2 A2_0,left right straight straight,2,4,0.006400000000000002,0.008037939072421832
r44,-B0_0,-B0_0 B0C0 C0_1,right straight,1,2,0.08000000000000002,0.10047423840527289
r45,-B0_0,-B0_0 B0C0 C0_0,right right,2,2,0.16000000000000003,0.20094847681054578
r46,-B0_0,-B0_0 B0C0 C0C1 C1B1 B1A1 A1_1,right left left straight straight,3,5,0.002560000000000001,0.0032151756289687332
r47,-B0_0,-B0_0 B0C0 C0C1 C1_1,right left right,3,3,0.06400000000000002,0.08037939072421832
r48,-B0_0,-B0_0 B0C0 C0C1 C1C2 C2B2 B2A2 A2_1,right left straight left straight straight,3,6,0.0005120000000000002,0.0006430351257937466
r49,-B0_0,-B0_0 B0C0 C0C1 C1C2 C2_1,right left straight right,3,4,0.012800000000000004,0.016075878144843663
r50,-B0_0,-B0_0 B0C0 C0C1 C1C2 C2_0,right left straight straight,2,4,0.006400000000000002,0.008037939072421832
r51,-B0_0,-B0_0 B0B1 B1A1 A1_1,straight left straight,1,3,0.016000000000000004,0.02009484768105458
r52,-B0_0,-B0_0 B0B1 B1A1 A1A0 A0_1,straight left left right,3,4,0.012800000000000004,0.016075878144843663
r53,-B0_0,-B0_0 B0B1 B1A1 A1A0 A0_0,straight left left straight,2,4,0.006400000000000002,0.008037939072421832
r54,-B0_0,-B0_0 B0B1 B1A1 A1A2 A2_1,straight left right left,3,4,0.012800000000000004,0.016075878144843663
r55,-B0_0,-B0_0 B0B1 B1A1 A1A2 A2B2 B2C2 C2_1,straight left right right straight straight,3,6,0.0005120000000000002,0.0006430351257937466
r56,-B0_0,-B0_0 B0B1 B1A1 A1A2 A2_0,straight left right straight,2,4,0.006400000000000002,0.008037939072421832
r57,-B0_0,-B0_0 B0B1 B1C1 C1_1,straight right straight,1,3,0.016000000000000004,0.02009484768105458
r58,-B0_0,-B0_0 B0B1 B1C1 C1C0 C0_1,straight right right left,3,4,0.012800000000000004,0.016075878144843663
r59,-B0_0,-B0_0 B0B1 B1C1 C1C0 C0_0,straight right right straight,2,4,0.006400000000000002,0.008037939072421832
r60,-B0_0,-B0_0 B0B1 B1C1 C1C2 C2B2 B2A2 A2_1,straight right left left straight straight,3,6,0.0005120000000000002,0.0006430351257937466
r61,-B0_0,-B0_0 B0B1 B1C1 C1C2 C2_1,straight right left right,3,4,0.012800000000000004,0.016075878144843663
r62,-B0_0,-B0_0 B0B1 B1C1 C1C2 C2_0,straight right left straight,2,4,0.006400000000000002,0.008037939072421832
r63,-B0_0,-B0_0 B0B1 B1B2 B2A2 A2_1,straight straight left straight,1,4,0.003200000000000001,0.004018969536210916
r64,-B0_0,-B0_0 B0B1 B1B2 B2A2 A2A1 A1_1,straight straight left left right,3,5,0.002560000000000001,0.0032151756289687332
r65,-B0_0,-B0_0 B0B1 B1B2 B2A2 A2A1 A1A0 A0_1,straight straight left left straight right,3,6,0.0005120000000000002,0.0006430351257937466
r66,-B0_0,-B0_0 B0B1 B1B2 B2A2 A2A1 A1A0 A0_0,straight straight left left straight straight,2,6,0.0002560000000000001,0.0003215175628968733
r67,-B0_0,-B0_0 B0B1 B1B2 B2A2 A2_0,straight straight left right,2,4,0.006400000000000002,0.008037939072421832
r68,-B0_0,-B0_0 B0B1 B1B2 B2C2 C2_1,straight straight right straight,1,4,0.003200000000000001,0.004018969536210916
r69,-B0_0,-B0_0 B0B1 B1B2 B2C2 C2C1 C1_1,straight straight right right left,3,5,0.002560000000000001,0.0032151756289687332
r70,-B0_0,-B0_0 B0B1 B1B2 B2C2 C2C1 C1C0 C0_1,straight straight right right straight left,3,6,0.0005120000000000002,0.0006430351257937466
r71,-B0_0,-B0_0 B0B1 B1B2 B2C2 C2C1 C1C0 C0_0,straight straight right right straight straight,2,6,0.0002560000000000001,0.0003215175628968733
r72,-B0_0,-B0_0 B0B1 B1B2 B2C2 C2_0,straight straight right left,2,4,0.006400000000000002,0.008037939072421832
r73,-B0_0,-B0_0 B0B1 B1B2 B2_0,straight straight straight,0,3,0.008000000000000002,0.01004742384052729
r74,-C0_0,-C0_0 C0B0 B0A0 A0_1,left straight straight,1,3,0.016000000000000004,0.01980951173515476
r75,-C0_0,-C0_0 C0B0 B0A0 A0_0,left straight left,2,3,0.03200000000000001,0.03961902347030952
r76,-C0_0,-C0_0 C0B0 B0A0 A0A1 A1_1,left straight right left,3,4,0.012800000000000004,0.015847609388123806
r77,-C0_0,-C0_0 C0B0 B0A0 A0A1 A1B1 B1C1 C1_1,left straight right right straight straight,3,6,0.0005120000000000002,0.0006339043755249523
