route_id,start_edge,route_edges,movement_sequence,turns,intersections,raw_probability,normalized_probability
r0,-A0_0,-A0_0 A0_1,left,1,1,0.45,0.5828150380785442
r1,-A0_0,-A0_0 A0B0 B0C0 C0_1,right straight straight,1,3,0.0045000000000000005,0.005828150380785442
r2,-A0_0,-A0_0 A0B0 B0C0 C0_0,right straight right,2,3,0.020250000000000004,0.026226676713534493
r3,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1B1 B1A1 A1_1,right straight left left straight straight,3,6,9.112500000000003e-05,0.00011802004521090524
r4,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1_1,right straight left right,3,4,0.009112500000000003,0.011802004521090523
r5,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2B2 B2A2 A2_1,right straight left straight left straight straight,3,7,9.112500000000003e-06,1.1802004521090523e-05
r6,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2_1,right straight left straight right,3,5,0.0009112500000000002,0.0011802004521090522
r7,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2_0,right straight left straight straight,2,5,0.00020250000000000004,0.0002622667671353449
r8,-A0_0,-A0_0 A0B0 B0_0,right right,2,2,0.2025,0.26226676713534486
r9,-A0_0,-A0_0 A0B0 B0B1 B1A1 A1_1,right left left straight,3,4,0.0091125,0.01180200452109052
r10,-A0_0,-A0_0 A0B0 B0B1 B1C1 C1_1,right left right straight,3,4,0.0091125,0.01180200452109052
r11,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2A2 A2_1,right left straight left straight,3,5,0.0009112500000000003,0.0011802004521090522
r12,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2C2 C2_1,right left straight right straight,3,5,0.0009112500000000003,0.0011802004521090522
r13,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2_0,right left straight straight,2,4,0.0020250000000000003,0.002622667671353449
r14,-A0_0,-A0_0 A0A1 A1_1,straight left,1,2,0.045000000000000005,0.05828150380785442
r15,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1_1,straight right straight straight,1,4,0.0004500000000000001,0.0005828150380785443
r16,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C0 C0_1,straight right straight right left,3,5,0.0009112500000000002,0.0011802004521090522
r17,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C0 C0_0,straight right straight right straight,2,5,0.00020250000000000004,0.0002622667671353449
r18,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C2 C2B2 B2A2 A2_1,straight right straight left left straight straight,3,7,9.112500000000003e-06,1.1802004521090523e-05
r19,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C2 C2_1,straight right straight left right,3,5,0.0009112500000000002,0.0011802004521090522
r20,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C2 C2_0,straight right straight left straight,2,5,0.00020250000000000004,0.0002622667671353449
r21,-A0_0,-A0_0 A0A1 A1B1 B1B0 B0C0 C0_1,straight right right left straight,3,5,0.0009112500000000003,0.0011802004521090522
r22,-A0_0,-A0_0 A0A1 A1B1 B1B0 B0_0,straight right right straight,2,4,0.0020250000000000003,0.002622667671353449
r23,-A0_0,-A0_0 A0A1 A1B1 B1B2 B2A2 A2_1,straight right left left straight,3,5,0.0009112500000000003,0.0011802004521090522
r24,-A0_0,-A0_0 A0A1 A1B1 B1B2 B2C2 C2_1,straight right left right straight,3,5,0.0009112500000000003,0.0011802004521090522
r25,-A0_0,-A0_0 A0A1 A1B1 B1B2 B2_0,straight right left straight,2,4,0.0020250000000000003,0.002622667671353449
r26,-A0_0,-A0_0 A0A1 A1A2 A2_1,straight straight left,1,3,0.004500000000000001,0.005828150380785443
r27,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2C2 C2_1,straight straight right straight straight,1,5,4.5000000000000016e-05,5.828150380785444e-05
r28,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2C2 C2C1 C1_1,straight straight right straight right left,3,6,9.112500000000003e-05,0.00011802004521090524
