route_id,start_edge,route_edges,movement_sequence,turns,intersections,raw_probability,normalized_probability
r233,-A2_0,-A2_0 A2B2 B2B1 B1B0 B0C0 C0_1,left right straight left straight,3,5,0.0006399999999999996,0.0006436642518529481
r234,-A2_0,-A2_0 A2B2 B2B1 B1B0 B0_0,left right straight straight,2,4,0.006399999999999998,0.006436642518529482
r235,-A2_0,-A2_0 A2B2 B2_0,left left,2,2,0.009999999999999995,0.010057253935202314
r236,-A2_0,-A2_0 A2A1 A1_1,straight right,1,2,0.07999999999999999,0.08045803148161854
r237,-A2_0,-A2_0 A2A1 A1B1 B1C1 C1_1,straight left straight straight,1,4,0.051199999999999996,0.05149314014823587
r238,-A2_0,-A2_0 A2A1 A1B1 B1C1 C1C0 C0B0 B0A0 A0_1,straight left straight right right straight straight,3,7,0.0004095999999999998,0.00041194512118588683
r239,-A2_0,-A2_0 A2A1 A1B1 B1C1 C1C0 C0_1,straight left straight right left,3,5,0.0006399999999999996,0.0006436642518529481
r240,-A2_0,-A2_0 A2A1 A1B1 B1C1 C1C0 C0_0,straight left straight right straight,2,5,0.005119999999999999,0.005149314014823586
r241,-A2_0,-A2_0 A2A1 A1B1 B1C1 C1C2 C2_1,straight left straight left right,3,5,0.0006399999999999996,0.0006436642518529481
r242,-A2_0,-A2_0 A2A1 A1B1 B1C1 C1C2 C2_0,straight left straight left straight,2,5,0.005119999999999999,0.005149314014823586
r243,-A2_0,-A2_0 A2A1 A1B1 B1B0 B0A0 A0_1,straight left right right straight,3,5,0.0006399999999999996,0.0006436642518529481
r244,-A2_0,-A2_0 A2A1 A1B1 B1B0 B0C0 C0_1,straight left right left straight,3,5,0.0006399999999999996,0.0006436642518529481
r245,-A2_0,-A2_0 A2A1 A1B1 B1B0 B0_0,straight left right straight,2,4,0.006399999999999998,0.006436642518529482
r246,-A2_0,-A2_0 A2A1 A1B1 B1B2 B2C2 C2_1,straight left left right straight,3,5,0.0006399999999999996,0.0006436642518529481
r247,-A2_0,-A2_0 A2A1 A1B1 B1B2 B2_0,straight left left straight,2,4,0.006399999999999998,0.006436642518529482
r248,-A2_0,-A2_0 A2A1 A1A0 A0_1,straight straight right,1,3,0.064,0.06436642518529484
r249,-A2_0,-A2_0 A2A1 A1A0 A0B0 B0C0 C0_1,straight straight left straight straight,1,5,0.04096,0.041194512118588704
r250,-A2_0,-A2_0 A2A1 A1A0 A0B0 B0C0 C0_0,straight straight left straight right,2,5,0.005119999999999999,0.005149314014823586
r251,-A2_0,-A2_0 A2A1 A1A0 A0B0 B0C0 C0C1 C1_1,straight straight left straight left right,3,6,0.0005119999999999998,0.0005149314014823585
r252,-A2_0,-A2_0 A2A1 A1A0 A0B0 B0C0 C0C1 C1C2 C2_1,straight straight left straight left straight right,3,7,0.0004095999999999998,0.00041194512118588683
r253,-A2_0,-A2_0 A2A1 A1A0 A0B0 B0C0 C0C1 C1C2 C2_0,straight straight left straight left straight straight,2,7,0.0032767999999999994,0.0032955609694870955
r254,-A2_0,-A2_0 A2A1 A1A0 A0B0 B0_0,straight straight left right,2,4,0.006399999999999999,0.006436642518529483
r255,-A2_0,-A2_0 A2A1 A1A0 A0B0 B0B1 B1C1 C1_1,straight straight left left right straight,3,6,0.0005119999999999998,0.0005149314014823585
r256,-A2_0,-A2_0 A2A1 A1A0 A0B0 B0B1 B1B2 B2C2 C2_1,straight straight left left straight right straight,3,7,0.00040959999999999993,0.00041194512118588694
r257,-A2_0,-A2_0 A2A1 A1A0 A0B0 B0B1 B1B2 B2_0,straight straight left left straight straight,2,6,0.004096,0.0041194512118588695
r258,-A2_0,-A2_0 A2A1 A1A0 A0_0,straight straight straight,0,3,0.5120000000000001,0.5149314014823588
r259,-B2_0,-B2_0 B2A2 A2_1,right straight,1,2,0.07999999999999999,0.08046476447963434
r260,-B2_0,-B2_0 B2A2 A2A1 A1_1,right left right,3,3,0.0009999999999999994,0.0010058095559954288
r261,-B2_0,-B2_0 B2A2 A2A1 A1B1 B1C1 C1_1,right left left straight straight,3,5,0.0006399999999999996,0.0006437181158370745
r262,-B2_0,-B2_0 B2A2 A2A1 A1A0 A0_1,right left straight right,3,4,0.0007999999999999995,0.0008046476447963431
r263,-B2_0,-B2_0 B2A2 A2A1 A1A0 A0B0 B0C0 C0_1,right left straight left straight straight,3,6,0.0005119999999999998,0.0005149744926696597
r264,-B2_0,-B2_0 B2A2 A2A1 A1A0 A0_0,right left straight straight,2,4,0.006399999999999998,0.006437181158370746
r265,-B2_0,-B2_0 B2A2 A2_0,right right,2,2,0.009999999999999995,0.010058095559954289
r266,-B2_0,-B2_0 B2C2 C2_1,left straight,1,2,0.07999999999999999,0.08046476447963434
r267,-B2_0,-B2_0 B2C2 C2C1 C1B1 B1A1 A1_1,left right right straight straight,3,5,0.0006399999999999996,0.0006437181158370745
r268,-B2_0,-B2_0 B2C2 C2C1 C1_1,left right left,3,3,0.0009999999999999994,0.0010058095559954288
r269,-B2_0,-B2_0 B2C2 C2C1 C1C0 C0B0 B0A0 A0_1,left right straight right straight straight,3,6,0.0005119999999999998,0.0005149744926696597
r270,-B2_0,-B2_0 B2C2 C2C1 C1C0 C0_1,left right straight left,3,4,0.0007999999999999995,0.0008046476447963431
r271,-B2_0,-B2_0 B2C2 C2C1 C1C0 C0_0,left right straight straight,2,4,0.006399999999999998,0.006437181158370746
r272,-B2_0,-B2_0 B2C2 C2_0,left left,2,2,0.009999999999999995,0.010058095559954289
r273,-B2_0,-B2_0 B2B1 B1A1 A1_1,straight right straight,1,3,0.06399999999999999,0.06437181158370747
r274,-B2_0,-B2_0 B2B1 B1A1 A1A0 A0_1,straight right left right,3,4,0.0007999999999999995,0.0008046476447963431
r275,-B2_0,-B2_0 B2B1 B1A1 A1A0 A0B0 B0C0 C0_1,straight right left left straight straight,3,6,0.0005119999999999998,0.0005149744926696597
r276,-B2_0,-B2_0 B2B1 B1A1 A1A0 A0_0,straight right left straight,2,4,0.006399999999999998,0.006437181158370746
r277,-B2_0,-B2_0 B2B1 B1A1 A1A2 A2_1,straight right right left,3,4,0.0007999999999999995,0.0008046476447963431
r278,-B2_0,-B2_0 B2B1 B1A1 A1A2 A2_0,straight right right straight,2,4,0.006399999999999998,0.006437181158370746
r279,-B2_0,-B2_0 B2B1 B1C1 C1_1,straight left straight,1,3,0.06399999999999999,0.06437181158370747
r280,-B2_0,-B2_0 B2B1 B1C1 C1C0 C0B0 B0A0 A0_1,straight left right right straight straight,3,6,0.0005119999999999998,0.0005149744926696597
r281,-B2_0,-B2_0 B2B1 B1C1 C1C0 C0_1,straight left right left,3,4,0.0007999999999999995,0.0008046476447963431
r282,-B2_0,-B2_0 B2B1 B1C1 C1C0 C0_0,straight left right straight,2,4,0.006399999999999998,0.006437181158370746
r283,-B2_0,-B2_0 B2B1 B1C1 C1C2 C2_1,straight left left right,3,4,0.0007999999999999995,0.0008046476447963431
r284,-B2_0,-B2_0 B2B1 B1C1 C1C2 C2_0,straight left left straight,2,4,0.006399999999999998,0.006437181158370746
r285,-B2_0,-B2_0 B2B1 B1B0 B0A0 A0_1,straight straight right straight,1,4,0.0512,0.05149744926696599
r286,-B2_0,-B2_0 B2B1 B1B0 B0A0 A0_0,straight straight right left,2,4,0.006399999999999999,0.006437181158370747
r287,-B2_0,-B2_0 B2B1 B1B0 B0A0 A0A1 A1_1,straight straight right right left,3,5,0.0006399999999999997,0.0006437181158370746
r288,-B2_0,-B2_0 B2B1 B1B0 B0A0 A0A1 A1A2 A2_1,straight straight right right straight left,3,6,0.0005119999999999999,0.0005149744926696598
r289,-B2_0,-B2_0 B2B1 B1B0 B0A0 A0A1 A1A2 A2_0,straight straight right right straight straight,2,6,0.004096,0.004119795941357279
r290,-B2_0,-B2_0 B2B1 B1B0 B0C0 C0_1,straight straight left straight,1,4,0.0512,0.05149744926696599
r291,-B2_0,-B2_0 B2B1 B1B0 B0C0 C0_0,straight straight left right,2,4,0.006399999999999999,0.006437181158370747
r292,-B2_0,-B2_0 B2B1 B1B0 B0C0 C0C1 C1_1,straight straight left left right,3,5,0.0006399999999999997,0.0006437181158370746
r293,-B2_0,-B2_0 B2B1 B1B0 B0C0 C0C1 C1C2 C2_1,straight straight left left straight right,3,6,0.0005119999999999999,0.0005149744926696598
r294,-B2_0,-B2_0 B2B1 B1B0 B0C0 C0C1 C1C2 C2_0,straight straight left left straight straight,2,6,0.004096,0.004119795941357279
r295,-B2_0,-B2_0 B2B1 B1B0 B0_0,straight straight straight,0,3,0.5120000000000001,0.51497449266966
r296,-C2_0,-C2_0 C2B2 B2A2 A2_1,right straight straight,1,3,0.06399999999999999,0.06436642518529483
r297,-C2_0,-C2_0 C2B2 B2A2 A2A1 A1_1,right straight left right,3,4,0.0007999999999999995,0.000804580314816185
r298,-C2_0,-C2_0 C2B2 B2A2 A2A1 A1B1 B1C1 C1_1,right straight left left straight straight,3,6,0.0005119999999999998,0.0005149314014823585
r299,-C2_0,-C2_0 C2B2 B2A2 A2A1 A1A0 A0_1,right straight left straight right,3,5,0.0006399999999999996,0.0006436642518529481
r300,-C2_0,-C2_0 C2B2 B2A2 A2A1 A1A0 A0B0 B0C0 C0_1,right straight left straight left straight straight,3,7,0.0004095999999999998,0.00041194512118588683
r301,-C2_0,-C2_0 C2B2 B2A2 A2A1 A1A0 A0_0,right straight left straight straight,2,5,0.005119999999999999,0.005149314014823586
r302,-C2_0,-C2_0 C2B2 B2A2 A2_0,right straight right,2,3,0.007999999999999997,0.008045803148161852
r303,-C2_0,-C2_0 C2B2 B2B1 B1A1 A1_1,right left right straight,3,4,0.0007999999999999995,0.000804580314816185
r304,-C2_0,-C2_0 C2B2 B2B1 B1C1 C1_1,right left left straight,3,4,0.0007999999999999995,0.000804580314816185
