route_id,start_edge,route_edges,movement_sequence,turns,intersections,raw_probability,normalized_probability
r0,-A0_0,-A0_0 A0_1,left,1,1,0.15000000000000002,0.15276496178762708
r1,-A0_0,-A0_0 A0B0 B0C0 C0_1,right straight straight,1,3,0.0735,0.07485483127593726
r2,-A0_0,-A0_0 A0B0 B0C0 C0_0,right straight right,2,3,0.015750000000000004,0.016040320987700845
r3,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1B1 B1A1 A1_1,right straight left left straight straight,3,6,0.0011576250000000002,0.001178963592596012
r4,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1_1,right straight left right,3,4,0.002362500000000001,0.002406048148155127
r5,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2B2 B2A2 A2_1,right straight left straight left straight straight,3,7,0.0008103375000000001,0.0008252745148172085
r6,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2_1,right straight left straight right,3,5,0.0016537500000000005,0.0016842337037085888
r7,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2_0,right straight left straight straight,2,5,0.0077175,0.007859757283973413
r8,-A0_0,-A0_0 A0B0 B0_0,right right,2,2,0.022500000000000006,0.022914744268144067
r9,-A0_0,-A0_0 A0B0 B0B1 B1A1 A1_1,right left left straight,3,4,0.002362500000000001,0.002406048148155127
r10,-A0_0,-A0_0 A0B0 B0B1 B1C1 C1_1,right left right straight,3,4,0.002362500000000001,0.002406048148155127
r11,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2A2 A2_1,right left straight left straight,3,5,0.0016537500000000005,0.0016842337037085888
r12,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2C2 C2_1,right left straight right straight,3,5,0.0016537500000000005,0.0016842337037085888
r13,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2_0,right left straight straight,2,4,0.011025000000000002,0.01122822469139059
r14,-A0_0,-A0_0 A0A1 A1_1,straight left,1,2,0.10500000000000001,0.10693547325133895
r15,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1_1,straight right straight straight,1,4,0.051449999999999996,0.05239838189315608
r16,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C0 C0_1,straight right straight right left,3,5,0.0016537500000000005,0.0016842337037085888
r17,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C0 C0_0,straight right straight right straight,2,5,0.0077175,0.007859757283973413
r18,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C2 C2B2 B2A2 A2_1,straight right straight left left straight straight,3,7,0.0008103375000000001,0.0008252745148172085
r19,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C2 C2_1,straight right straight left right,3,5,0.0016537500000000005,0.0016842337037085888
r20,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C2 C2_0,straight right straight left straight,2,5,0.0077175,0.007859757283973413
r21,-A0_0,-A0_0 A0A1 A1B1 B1B0 B0C0 C0_1,straight right right left straight,3,5,0.0016537500000000005,0.0016842337037085888
r22,-A0_0,-A0_0 A0A1 A1B1 B1B0 B0_0,straight right right straight,2,4,0.011025000000000002,0.01122822469139059
r23,-A0_0,-A0_0 A0A1 A1B1 B1B2 B2A2 A2_1,straight right left left straight,3,5,0.0016537500000000005,0.0016842337037085888
r24,-A0_0,-A0_0 A0A1 A1B1 B1B2 B2C2 C2_1,straight right left right straight,3,5,0.0016537500000000005,0.0016842337037085888
r25,-A0_0,-A0_0 A0A1 A1B1 B1B2 B2_0,straight right left straight,2,4,0.011025000000000002,0.01122822469139059
r26,-A0_0,-A0_0 A0A1 A1A2 A2_1,straight straight left,1,3,0.0735,0.07485483127593726
r27,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2C2 C2_1,straight straight right straight straight,1,5,0.03601499999999999,0.03667886732520925
r28,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2C2 C2C1 C1_1,straight straight right straight right left,3,6,0.0011576250000000002,0.001178963592596012
r29,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2C2 C2C1 C1C0 C0_1,straight straight right straight right straight left,3,7,0.0008103375000000001,0.0008252745148172085
r30,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2C2 C2C1 C1C0 C0_0,straight straight right straight right straight straight,2,7,0.0037815749999999997,0.003851281069146972
r31,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2C2 C2_0,straight straight right straight left,2,5,0.0077175,0.007859757283973413
r32,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2B1 B1C1 C1_1,straight straight right right left straight,3,6,0.0011576250000000002,0.001178963592596012
r33,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2B1 B1B0 B0C0 C0_1,straight straight right right straight left straight,3,7,0.0008103375000000001,0.0008252745148172085
r34,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2B1 B1B0 B0_0,straight straight right right straight straight,2,6,0.00540225,0.0055018300987813885
r35,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2_0,straight straight right left,2,4,0.011025000000000002,0.01122822469139059
r36,-A0_0,-A0_0 A0A1 A1A2 A2_0,straight straight straight,0,3,0.3429999999999999,0.3493225459543738
r37,-B0_0,-B0_0 B0A0 A0_1,left straight,1,2,0.10500000000000001,0.10699107719890227
r38,-B0_0,-B0_0 B0A0 A0_0,left left,2,2,0.022500000000000006,0.02292665939976478
r39,-B0_0,-B0_0 B0A0 A0A1 A1_1,left right left,3,3,0.0033750000000000013,0.0034389989099647173
r40,-B0_0,-B0_0 B0A0 A0A1 A1B1 B1C1 C1_1,left right right straight straight,3,5,0.0016537500000000005,0.0016851094658827113
r41,-B0_0,-B0_0 B0A0 A0A1 A1A2 A2_1,left right straight left,3,4,0.002362500000000001,0.002407299236975302
r42,-B0_0,-B0_0 B0A0 A0A1 A1A2 A2B2 B2C2 C2_1,left right straight right straight straight,3,6,0.0011576250000000002,0.0011795766261178977
r43,-B0_0,-B0_0 B0A0 A0A1 A1A2 A2_0,left right straight straight,2,4,0.011025000000000002,0.011234063105884741
r44,-B0_0,-B0_0 B0C0 C0_1,right straight,1,2,0.10500000000000001,0.10699107719890227
r45,-B0_0,-B0_0 B0C0 C0_0,right right,2,2,0.022500000000000006,0.02292665939976478
r46,-B0_0,-B0_0 B0C0 C0C1 C1B1 B1A1 A1_1,right left left straight straight,3,5,0.0016537500000000005,0.0016851094658827113
r47,-B0_0,-B0_0 B0C0 C0C1 C1_1,right left right,3,3,0.0033750000000000013,0.0034389989099647173
r48,-B0_0,-B0_0 B0C0 C0C1 C1C2 C2B2 B2A2 A2_1,right left straight left straight straight,3,6,0.0011576250000000002,0.0011795766261178977
r49,-B0_0,-B0_0 B0C0 C0C1 C1C2 C2_1,right left straight right,3,4,0.002362500000000001,0.002407299236975302
r50,-B0_0,-B0_0 B0C0 C0C1 C1C2 C2_0,right left straight straight,2,4,0.011025000000000002,0.011234063105884741
r51,-B0_0,-B0_0 B0B1 B1A1 A1_1,straight left straight,1,3,0.0735,0.07489375403923158
r52,-B0_0,-B0_0 B0B1 B1A1 A1A0 A0_1,straight left left right,3,4,0.002362500000000001,0.002407299236975302
r53,-B0_0,-B0_0 B0B1 B1A1 A1A0 A0_0,straight left left straight,2,4,0.011025000000000002,0.011234063105884741
r54,-B0_0,-B0_0 B0B1 B1A1 A1A2 A2_1,straight left right left,3,4,0.002362500000000001,0.002407299236975302
r55,-B0_0,-B0_0 B0B1 B1A1 A1A2 A2B2 B2C2 C2_1,straight left right right straight straight,3,6,0.0011576250000000002,0.0011795766261178977
r56,-B0_0,-B0_0 B0B1 B1A1 A1A2 A2_0,straight left right straight,2,4,0.011025000000000002,0.011234063105884741
r57,-B0_0,-B0_0 B0B1 B1C1 C1_1,straight right straight,1,3,0.0735,0.07489375403923158
r58,-B0_0,-B0_0 B0B1 B1C1 C1C0 C0_1,straight right right left,3,4,0.002362500000000001,0.002407299236975302
r59,-B0_0,-B0_0 B0B1 B1C1 C1C0 C0_0,straight right right straight,2,4,0.011025000000000002,0.011234063105884741
r60,-B0_0,-B0_0 B0B1 B1C1 C1C2 C2B2 B2A2 A2_1,straight right left left straight straight,3,6,0.0011576250000000002,0.0011795766261178977
r61,-B0_0,-B0_0 B0B1 B1C1 C1C2 C2_1,straight right left right,3,4,0.002362500000000001,0.002407299236975302
r62,-B0_0,-B0_0 B0B1 B1C1 C1C2 C2_0,straight right left straight,2,4,0.011025000000000002,0.011234063105884741
r63,-B0_0,-B0_0 B0B1 B1B2 B2A2 A2_1,straight straight left straight,1,4,0.051449999999999996,0.05242562782746211
r64,-B0_0,-B0_0 B0B1 B1B2 B2A2 A2A1 A1_1,straight straight left left right,3,5,0.0016537500000000005,0.0016851094658827113
r65,-B0_0,-B0_0 B0B1 B1B2 B2A2 A2A1 A1A0 A0_1,straight straight left left straight right,3,6,0.0011576250000000002,0.0011795766261178977
r66,-B0_0,-B0_0 B0B1 B1B2 B2A2 A2A1 A1A0 A0_0,straight straight left left straight straight,2,6,0.00540225,0.005504690921883521
r67,-B0_0,-B0_0 B0B1 B1B2 B2A2 A2_0,straight straight left right,2,4,0.011025000000000002,0.011234063105884741
r68,-B0_0,-B0_0 B0B1 B1B2 B2C2 C2_1,straight straight right straight,1,4,0.051449999999999996,0.05242562782746211
r69,-B0_0,-B0_0 B0B1 B1B2 B2C2 C2C1 C1_1,straight straight right right left,3,5,0.0016537500000000005,0.0016851094658827113
r70,-B0_0,-B0_0 B0B1 B1B2 B2C2 C2C1 C1C0 C0_1,straight straight right right straight left,3,6,0.0011576250000000002,0.0011795766261178977
r71,-B0_0,-B0_0 B0B1 B1B2 B2C2 C2C1 C1C0 C0_0,straight straight right right straight straight,2,6,0.00540225,0.005504690921883521
r72,-B0_0,-B0_0 B0B1 B1B2 B2C2 C2_0,straight straight right left,2,4,0.011025000000000002,0.011234063105884741
r73,-B0_0,-B0_0 B0B1 B1B2 B2_0,straight straight straight,0,3,0.3429999999999999,0.349504185516414
r74,-C0_0,-C0_0 C0B0 B0A0 A0_1,left straight straight,1,3,0.0735,0.07485483127593726
r75,-C0_0,-C0_0 C0B0 B0A0 A0_0,left straight left,2,3,0.015750000000000004,0.016040320987700845
r76,-C0_0,-C0_0 C0B0 B0A0 A0A1 A1_1,left straight right left,3,4,0.002362500000000001,0.002406048148155127
r77,-C0_0,-C0_0 C0B0 B0A0 A0A1 A1B1 B1C1 C1_1,left straight right right straight straight,3,6,0.0011576250000000002,0.001178963592596012
r78,-C0_0,-C0_0 C0B0 B0A0 A0A1 A1A2 A2_1,left straight right straight left,3,5,0.0016537500000000005,0.0016842337037085888
r79,-C0_0,-C0_0 C0B0 B0A0 A0A1 A1A2 A2B2 B2C2 C2_1,left straight right straight right straight straight,3,7,0.0008103375000000001,0.0008252745148172085
r80,-C0_0,-C0_0 C0B0 B0A0 A0A1 A1A2 A2_0,left straight right straight straight,2,5,0.0077175,0.007859757283973413
r81,-C0_0,-C0_0 C0B0 B0_0,left left,2,2,0.022500000000000006,0.022914744268144067
r82,-C0_0,-C0_0 C0B0 B0B1 B1A1 A1_1,left right left straight,3,4,0.002362500000000001,0.002406048148155127
r83,-C0_0,-C0_0 C0B0 B0B1 B1C1 C1_1,left right right straight,3,4,0.002362500000000001,0.002406048148155127
r84,-C0_0,-C0_0 C0B0 B0B1 B1B2 B2A2 A2_1,left right straight left straight,3,5,0.0016537500000000005,0.0016842337037085888
r85,-C0_0,-C0_0 C0B0 B0B1 B1B2 B2C2 C2_1,left right straight right straight,3,5,0.0016537500000000005,0.0016842337037085888
r86,-C0_0,-C0_0 C0B0 B0B1 B1B2 B2_0,left right straight straight,2,4,0.011025000000000002,0.01122822469139059
r87,-C0_0,-C0_0 C0_1,right,1,1,0.15000000000000002,0.15276496178762708
r88,-C0_0,-C0_0 C0C1 C1B1 B1A1 A1_1,straight left straight straight,1,4,0.051449999999999996,0.05239838189315608
r89,-C0_0,-C0_0 C0C1 C1B1 B1A1 A1A0 A0_1,straight left straight left right,3,5,0.0016537500000000005,0.0016842337037085888
