route_id,start_edge,route_edges,movement_sequence,turns,intersections,raw_probability,normalized_probability
r0,-A0_0,-A0_0 A0_1,left,1,1,0.35,0.41201945508778987
r1,-A0_0,-A0_0 A0B0 B0C0 C0_1,right straight straight,1,3,0.0315,0.03708175095790109
r2,-A0_0,-A0_0 A0B0 B0C0 C0_0,right straight right,2,3,0.03675,0.043262042784217934
r3,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1B1 B1A1 A1_1,right straight left left straight straight,3,6,0.0011576249999999998,0.0013627543477028649
r4,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1_1,right straight left right,3,4,0.012862499999999999,0.015141714974476276
r5,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2B2 B2A2 A2_1,right straight left straight left straight straight,3,7,0.00034728749999999995,0.00040882630431085944
r6,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2_1,right straight left straight right,3,5,0.0038587499999999993,0.004542514492342883
r7,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2_0,right straight left straight straight,2,5,0.0033074999999999992,0.003893583850579613
r8,-A0_0,-A0_0 A0B0 B0_0,right right,2,2,0.12249999999999998,0.14420680928072643
r9,-A0_0,-A0_0 A0B0 B0B1 B1A1 A1_1,right left left straight,3,4,0.012862499999999997,0.015141714974476275
r10,-A0_0,-A0_0 A0B0 B0B1 B1C1 C1_1,right left right straight,3,4,0.012862499999999997,0.015141714974476275
r11,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2A2 A2_1,right left straight left straight,3,5,0.0038587499999999985,0.004542514492342882
r12,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2C2 C2_1,right left straight right straight,3,5,0.0038587499999999985,0.004542514492342882
r13,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2_0,right left straight straight,2,4,0.011024999999999997,0.012978612835265376
r14,-A0_0,-A0_0 A0A1 A1_1,straight left,1,2,0.105,0.12360583652633696
r15,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1_1,straight right straight straight,1,4,0.00945,0.011124525287370327
r16,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C0 C0_1,straight right straight right left,3,5,0.0038587499999999998,0.004542514492342883
r17,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C0 C0_0,straight right straight right straight,2,5,0.0033075,0.0038935838505796145
r18,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C2 C2B2 B2A2 A2_1,straight right straight left left straight straight,3,7,0.00034728749999999995,0.00040882630431085944
r19,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C2 C2_1,straight right straight left right,3,5,0.0038587499999999998,0.004542514492342883
r20,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C2 C2_0,straight right straight left straight,2,5,0.0033075,0.0038935838505796145
