route_id,start_edge,route_edges,movement_sequence,turns,intersections,raw_probability,normalized_probability
r0,-A0_0,-A0_0 A0_1,left,1,1,0.2,0.2082583603236169
r1,-A0_0,-A0_0 A0B0 B0C0 C0_1,right straight straight,1,3,0.072,0.07497300971650207
r2,-A0_0,-A0_0 A0B0 B0C0 C0_0,right straight right,2,3,0.024,0.024991003238834027
r3,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1B1 B1A1 A1_1,right straight left left straight straight,3,6,0.0017280000000000002,0.0017993522331960499
r4,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1_1,right straight left right,3,4,0.0048000000000000004,0.004998200647766806
r5,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2B2 B2A2 A2_1,right straight left straight left straight straight,3,7,0.0010368,0.00107961133991763
r6,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2_1,right straight left straight right,3,5,0.00288,0.0029989203886600833
r7,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2_0,right straight left straight straight,2,5,0.00864,0.00899676116598025
r8,-A0_0,-A0_0 A0B0 B0_0,right right,2,2,0.04000000000000001,0.04165167206472338
r9,-A0_0,-A0_0 A0B0 B0B1 B1A1 A1_1,right left left straight,3,4,0.004800000000000001,0.004998200647766807
r10,-A0_0,-A0_0 A0B0 B0B1 B1C1 C1_1,right left right straight,3,4,0.004800000000000001,0.004998200647766807
r11,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2A2 A2_1,right left straight left straight,3,5,0.0028800000000000006,0.0029989203886600837
r12,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2C2 C2_1,right left straight right straight,3,5,0.0028800000000000006,0.0029989203886600837
r13,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2_0,right left straight straight,2,4,0.014400000000000001,0.014994601943300417
r14,-A0_0,-A0_0 A0A1 A1_1,straight left,1,2,0.12,0.12495501619417013
r15,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1_1,straight right straight straight,1,4,0.043199999999999995,0.04498380582990124
r16,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C0 C0_1,straight right straight right left,3,5,0.00288,0.0029989203886600833
r17,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C0 C0_0,straight right straight right straight,2,5,0.00864,0.00899676116598025
r18,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C2 C2B2 B2A2 A2_1,straight right straight left left straight straight,3,7,0.0010368,0.00107961133991763
r19,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C2 C2_1,straight right straight left right,3,5,0.00288,0.0029989203886600833
