route_id,start_edge,route_edges,movement_sequence,turns,intersections,raw_probability,normalized_probability
r0,-A0_0,-A0_0 A0_1,left,1,1,0.25,0.2689075630252101
r1,-A0_0,-A0_0 A0B0 B0C0 C0_1,right straight straight,1,3,0.0625,0.06722689075630252
r2,-A0_0,-A0_0 A0B0 B0C0 C0_0,right straight right,2,3,0.03125,0.03361344537815126
r3,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1B1 B1A1 A1_1,right straight left left straight straight,3,6,0.001953125,0.0021008403361344537
r4,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1_1,right straight left right,3,4,0.0078125,0.008403361344537815
r5,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2B2 B2A2 A2_1,right straight left straight left straight straight,3,7,0.0009765625,0.0010504201680672268
r6,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2_1,right straight left straight right,3,5,0.00390625,0.004201680672268907
r7,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2_0,right straight left straight straight,2,5,0.0078125,0.008403361344537815
r8,-A0_0,-A0_0 A0B0 B0_0,right right,2,2,0.0625,0.06722689075630252
r9,-A0_0,-A0_0 A0B0 B0B1 B1A1 A1_1,right left left straight,3,4,0.0078125,0.008403361344537815
r10,-A0_0,-A0_0 A0B0 B0B1 B1C1 C1_1,right left right straight,3,4,0.0078125,0.008403361344537815
r11,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2A2 A2_1,right left straight left straight,3,5,0.00390625,0.004201680672268907
r12,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2C2 C2_1,right left straight right straight,3,5,0.00390625,0.004201680672268907
r13,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2_0,right left straight straight,2,4,0.015625,0.01680672268907563
r14,-A0_0,-A0_0 A0A1 A1_1,straight left,1,2,0.125,0.13445378151260504
r15,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1_1,straight right straight straight,1,4,0.03125,0.03361344537815126
r16,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C0 C0_1,straight right straight right left,3,5,0.00390625,0.004201680672268907
r17,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C0 C0_0,straight right straight right straight,2,5,0.0078125,0.008403361344537815
r18,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C2 C2B2 B2A2 A2_1,straight right straight left left straight straight,3,7,0.0009765625,0.0010504201680672268
r19,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C2 C2_1,straight right straight left right,3,5,0.00390625,0.004201680672268907
r20,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C2 C2_0,straight right straight left straight,2,5,0.0078125,0.008403361344537815
r21,-A0_0,-A0_0 A0A1 A1B1 B1B0 B0C0 C0_1,straight right right left straight,3,5,0.00390625,0.004201680672268907
r22,-A0_0,-A0_0 A0A1 A1B1 B1B0 B0_0,straight right right straight,2,4,0.015625,0.01680672268907563
r23,-A0_0,-A0_0 A0A1 A1B1 B1B2 B2A2 A2_1,straight right left left straight,3,5,0.00390625,0.004201680672268907
r24,-A0_0,-A0_0 A0A1 A1B1 B1B2 B2C2 C2_1,straight right left right straight,3,5,0.00390625,0.004201680672268907
r25,-A0_0,-A0_0 A0A1 A1B1 B1B2 B2_0,straight right left straight,2,4,0.015625,0.01680672268907563
r26,-A0_0,-A0_0 A0A1 A1A2 A2_1,straight straight left,1,3,0.0625,0.06722689075630252
r27,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2C2 C2_1,straight straight right straight straight,1,5,0.015625,0.01680672268907563
r28,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2C2 C2C1 C1_1,straight straight right straight right left,3,6,0.001953125,0.0021008403361344537
r29,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2C2 C2C1 C1C0 C0_1,straight straight right straight right straight left,3,7,0.0009765625,0.0010504201680672268
r30,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2C2 C2C1 C1C0 C0_0,straight straight right straight right straight straight,2,7,0.001953125,0.0021008403361344537
r31,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2C2 C2_0,straight straight right straight left,2,5,0.0078125,0.008403361344537815
r32,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2B1 B1C1 C1_1,straight straight right right left straight,3,6,0.001953125,0.0021008403361344537
r33,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2B1 B1B0 B0C0 C0_1,straight straight right right straight left straight,3,7,0.0009765625,0.0010504201680672268
r34,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2B1 B1B0 B0_0,straight straight right right straight straight,2,6,0.00390625,0.004201680672268907
r35,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2_0,straight straight right left,2,4,0.015625,0.01680672268907563
r36,-A0_0,-A0_0 A0A1 A1A2 A2_0,straight straight straight,0,3,0.125,0.13445378151260504
r37,-B0_0,-B0_0 B0A0 A0_1,left straight,1,2,0.125,0.1350210970464135
r38,-B0_0,-B0_0 B0A0 A0_0,left left,2,2,0.0625,0.06751054852320675
r39,-B0_0,-B0_0 B0A0 A0A1 A1_1,left right left,3,3,0.015625,0.016877637130801686
r40,-B0_0,-B0_0 B0A0 A0A1 A1B1 B1C1 C1_1,left right right straight straight,3,5,0.00390625,0.004219409282700422
r41,-B0_0,-B0_0 B0A0 A0A1 A1A2 A2_1,left right straight left,3,4,0.0078125,0.008438818565400843
r42,-B0_0,-B0_0 B0A0 A0A1 A1A2 A2B2 B2C2 C2_1,left right straight right straight straight,3,6,0.001953125,0.002109704641350211
r43,-B0_0,-B0_0 B0A0 A0A1 A1A2 A2_0,left right straight straight,2,4,0.015625,0.016877637130801686
r44,-B0_0,-B0_0 B0C0 C0_1,right straight,1,2,0.125,0.1350210970464135
r45,-B0_0,-B0_0 B0C0 C0_0,right right,2,2,0.0625,0.06751054852320675
r46,-B0_0,-B0_0 B0C0 C0C1 C1B1 B1A1 A1_1,right left left straight straight,3,5,0.00390625,0.004219409282700422
r47,-B0_0,-B0_0 B0C0 C0C1 C1_1,right left right,3,3,0.015625,0.016877637130801686
r48,-B0_0,-B0_0 B0C0 C0C1 C1C2 C2B2 B2A2 A2_1,right left straight left straight straight,3,6,0.001953125,0.002109704641350211
r49,-B0_0,-B0_0 B0C0 C0C1 C1C2 C2_1,right left straight right,3,4,0.0078125,0.008438818565400843
r50,-B0_0,-B0_0 B0C0 C0C1 C1C2 C2_0,right left straight straight,2,4,0.015625,0.016877637130801686
r51,-B0_0,-B0_0 B0B1 B1A1 A1_1,straight left straight,1,3,0.0625,0.06751054852320675
r52,-B0_0,-B0_0 B0B1 B1A1 A1A0 A0_1,straight left left right,3,4,0.0078125,0.008438818565400843
r53,-B0_0,-B0_0 B0B1 B1A1 A1A0 A0_0,straight left left straight,2,4,0.015625,0.016877637130801686
r54,-B0_0,-B0_0 B0B1 B1A1 A1A2 A2_1,straight left right left,3,4,0.0078125,0.008438818565400843
r55,-B0_0,-B0_0 B0B1 B1A1 A1A2 A2B2 B2C2 C2_1,straight left right right straight straight,3,6,0.001953125,0.002109704641350211
r56,-B0_0,-B0_0 B0B1 B1A1 A1A2 A2_0,straight left right straight,2,4,0.015625,0.016877637130801686
r57,-B0_0,-B0_0 B0B1 B1C1 C1_1,straight right straight,1,3,0.0625,0.06751054852320675
r58,-B0_0,-B0_0 B0B1 B1C1 C1C0 C0_1,straight right right left,3,4,0.0078125,0.008438818565400843
r59,-B0_0,-B0_0 B0B1 B1C1 C1C0 C0_0,straight right right straight,2,4,0.015625,0.016877637130801686
r60,-B0_0,-B0_0 B0B1 B1C1 C1C2 C2B2 B2A2 A2_1,straight right left left straight straight,3,6,0.001953125,0.002109704641350211
r61,-B0_0,-B0_0 B0B1 B1C1 C1C2 C2_1,straight right left right,3,4,0.0078125,0.008438818565400843
r62,-B0_0,-B0_0 B0B1 B1C1 C1C2 C2_0,straight right left straight,2,4,0.015625,0.016877637130801686
r63,-B0_0,-B0_0 B0B1 B1B2 B2A2 A2_1,straight straight left straight,1,4,0.03125,0.03375527426160337
r64,-B0_0,-B0_0 B0B1 B1B2 B2A2 A2A1 A1_1,straight straight left left right,3,5,0.00390625,0.004219409282700422
r65,-B0_0,-B0_0 B0B1 B1B2 B2A2 A2A1 A1A0 A0_1,straight straight left left straight right,3,6,0.001953125,0.002109704641350211
r66,-B0_0,-B0_0 B0B1 B1B2 B2A2 A2A1 A1A0 A0_0,straight straight left left straight straight,2,6,0.00390625,0.004219409282700422
r67,-B0_0,-B0_0 B0B1 B1B2 B2A2 A2_0,straight straight left right,2,4,0.015625,0.016877637130801686
r68,-B0_0,-B0_0 B0B1 B1B2 B2C2 C2_1,straight straight right straight,1,4,0.03125,0.03375527426160337
r69,-B0_0,-B0_0 B0B1 B1B2 B2C2 C2C1 C1_1,straight straight right right left,3,5,0.00390625,0.004219409282700422
r70,-B0_0,-B0_0 B0B1 B1B2 B2C2 C2C1 C1C0 C0_1,straight straight right right straight left,3,6,0.001953125,0.002109704641350211
r71,-B0_0,-B0_0 B0B1 B1B2 B2C2 C2C1 C1C0 C0_0,straight straight right right straight straight,2,6,0.00390625,0.004219409282700422
r72,-B0_0,-B0_0 B0B1 B1B2 B2C2 C2_0,straight straight right left,2,4,0.015625,0.016877637130801686
r73,-B0_0,-B0_0 B0B1 B1B2 B2_0,straight straight straight,0,3,0.125,0.1350210970464135
r74,-C0_0,-C0_0 C0B0 B0A0 A0_1,left straight straight,1,3,0.0625,0.06722689075630252
r75,-C0_0,-C0_0 C0B0 B0A0 A0_0,left straight left,2,3,0.03125,0.03361344537815126
r76,-C0_0,-C0_0 C0B0 B0A0 A0A1 A1_1,left straight right left,3,4,0.0078125,0.008403361344537815
r77,-C0_0,-C0_0 C0B0 B0A0 A0A1 A1B1 B1C1 C1_1,left straight right right straight straight,3,6,0.001953125,0.0021008403361344537
r78,-C0_0,-C0_0 C0B0 B0A0 A0A1 A1A2 A2_1,left straight right straight left,3,5,0.00390625,0.004201680672268907
r79,-C0_0,-C0_0 C0B0 B0A0 A0A1 A1A2 A2B2 B2C2 C2_1,left straight right straight right straight straight,3,7,0.0009765625,0.0010504201680672268
r80,-C0_0,-C0_0 C0B0 B0A0 A0A1 A1A2 A2_0,left straight right straight straight,2,5,0.0078125,0.008403361344537815
r81,-C0_0,-C0_0 C0B0 B0_0,left left,2,2,0.0625,0.06722689075630252
r82,-C0_0,-C0_0 C0B0 B0B1 B1A1 A1_1,left right left straight,3,4,0.0078125,0.008403361344537815
r83,-C0_0,-C0_0 C0B0 B0B1 B1C1 C1_1,left right right straight,3,4,0.0078125,0.008403361344537815
r84,-C0_0,-C0_0 C0B0 B0B1 B1B2 B2A2 A2_1,left right straight left straight,3,5,0.00390625,0.004201680672268907
r85,-C0_0,-C0_0 C0B0 B0B1 B1B2 B2C2 C2_1,left right straight right straight,3,5,0.00390625,0.004201680672268907
r86,-C0_0,-C0_0 C0B0 B0B1 B1B2 B2_0,left right straight straight,2,4,0.015625,0.01680672268907563
r87,-C0_0,-C0_0 C0_1,right,1,1,0.25,0.2689075630252101
r88,-C0_0,-C0_0 C0C1 C1B1 B1A1 A1_1,straight left straight straight,1,4,0.03125,0.03361344537815126
r89,-C0_0,-C0_0 C0C1 C1B1 B1A1 A1A0 A0_1,straight left straight left right,3,5,0.00390625,0.004201680672268907
r90,-C0_0,-C0_0 C0C1 C1B1 B1A1 A1A0 A0_0,straight left straight left straight,2,5,0.0078125,0.008403361344537815
r91,-C0_0,-C0_0 C0C1 C1B1 B1A1 A1A2 A2_1,straight left straight right left,3,5,0.00390625,0.004201680672268907
r92,-C0_0,-C0_0 C0C1 C1B1 B1A1 A1A2 A2B2 B2C2 C2_1,straight left straight right right straight straight,3,7,0.0009765625,0.0010504201680672268
r93,-C0_0,-C0_0 C0C1 C1B1 B1A1 A1A2 A2_0,straight left straight right straight,2,5,0.0078125,0.008403361344537815
r94,-C0_0,-C0_0 C0C1 C1B1 B1B0 B0A0 A0_1,straight left left right straight,3,5,0.00390625,0.004201680672268907
r95,-C0_0,-C0_0 C0C1 C1B1 B1B0 B0_0,straight left left straight,2,4,0.015625,0.01680672268907563
r96,-C0_0,-C0_0 C0C1 C1B1 B1B2 B2A2 A2_1,straight left right left straight,3,5,0.00390625,0.004201680672268907
r97,-C0_0,-C0_0 C0C1 C1B1 B1B2 B2C2 C2_1,straight left right right straight,3,5,0.00390625,0.004201680672268907
r98,-C0_0,-C0_0 C0C1 C1B1 B1B2 B2_0,straight left right straight,2,4,0.015625,0.01680672268907563
r99,-C0_0,-C0_0 C0C1 C1_1,straight right,1,2,0.125,0.13445378151260504
r100,-C0_0,-C0_0 C0C1 C1C2 C2B2 B2A2 A2_1,straight straight left straight straight,1,5,0.015625,0.01680672268907563
r101,-C0_0,-C0_0 C0C1 C1C2 C2B2 B2A2 A2A1 A1_1,straight straight left straight left right,3,6,0.001953125,0.0021008403361344537
r102,-C0_0,-C0_0 C0C1 C1C2 C2B2 B2A2 A2A1 A1A0 A0_1,straight straight left straight left straight right,3,7,0.0009765625,0.0010504201680672268
r103,-C0_0,-C0_0 C0C1 C1C2 C2B2 B2A2 A2A1 A1A0 A0_0,straight straight left straight left straight straight,2,7,0.001953125,0.0021008403361344537
r104,-C0_0,-C0_0 C0C1 C1C2 C2B2 B2A2 A2_0,straight straight left straight right,2,5,0.0078125,0.008403361344537815
r105,-C0_0,-C0_0 C0C1 C1C2 C2B2 B2B1 B1A1 A1_1,straight straight left left right straight,3,6,0.001953125,0.0021008403361344537
r106,-C0_0,-C0_0 C0C1 C1C2 C2B2 B2B1 B1B0 B0A0 A0_1,straight straight left left straight right straight,3,7,0.0009765625,0.0010504201680672268
r107,-C0_0,-C0_0 C0C1 C1C2 C2B2 B2B1 B1B0 B0_0,straight straight left left straight straight,2,6,0.00390625,0.004201680672268907
r108,-C0_0,-C0_0 C0C1 C1C2 C2B2 B2_0,straight straight left right,2,4,0.015625,0.01680672268907563
r109,-C0_0,-C0_0 C0C1 C1C2 C2_1,straight straight right,1,3,0.0625,0.06722689075630252
r110,-C0_0,-C0_0 C0C1 C1C2 C2_0,straight straight straight,0,3,0.125,0.13445378151260504
r111,-A0_1,-A0_1 A0B0 B0C0 C0_1,straight straight straight,0,3,0.125,0.13445378151260504
