table,grid,condition,item,metric,value,n,ci_low,ci_high,standard_deviation,minimum,maximum,qaoa_mean,exact_global,hedges_g,median,level,rank
1,2x2,alpha=1.0,PressLight,average_waiting_time,37.76,1,,,,,,,,,,,
1,2x2,alpha=1.0,PressLight,throughput,752.0,1,,,,,,,,,,,
1,2x2,alpha=1.0,MPLight,average_travel_time,88.42,1,,,,,,,,,,,
1,2x2,alpha=1.0,MPLight,average_waiting_time,36.8,1,,,,,,,,,,,
1,2x2,alpha=1.0,MPLight,throughput,756.0,1,,,,,,,,,,,
1,2x2,alpha=1.0,CoLight,average_travel_time,86.9,1,,,,,,,,,,,
1,2x2,alpha=1.0,CoLight,average_waiting_time,35.32,1,,,,,,,,,,,
1,2x2,alpha=1.0,CoLight,throughput,733.0,1,,,,,,,,,,,
1,2x2,alpha=1.0,QAOA,average_travel_time,91.36800000000001,20,91.03200000000001,91.816,,,,,,,,,
1,2x2,alpha=1.0,QAOA,average_waiting_time,38.03200000000001,20,37.87300000000001,38.24400000000001,,,,,,,,,
1,2x2,alpha=1.0,QAOA,throughput,719.4,20,717.8,720.6,,,,,,,,,
2,3x3,alpha=0.5,Fixed-Time,average_travel_time,182.94,1,,,,,,,,,,,
2,3x3,alpha=0.5,Fixed-Time,average_waiting_time,53.56,1,,,,,,,,,,,
2,3x3,alpha=0.5,Fixed-Time,throughput,822.0,1,,,,,,,,,,,
2,3x3,alpha=0.5,Classical Local,average_travel_time,151.43,1,,,,,,,,,,,
2,3x3,alpha=0.5,Classical Local,average_waiting_time,41.91,1,,,,,,,,,,,
2,3x3,alpha=0.5,Classical Local,throughput,1156.0,1,,,,,,,,,,,
2,3x3,alpha=0.5,Classical Global,average_travel_time,157.2,1,,,,,,,,,,,
2,3x3,alpha=0.5,Classical Global,average_waiting_time,40.75,1,,,,,,,,,,,
2,3x3,alpha=0.5,Classical Global,throughput,1017.0,1,,,,,,,,,,,
2,3x3,alpha=0.5,Max-Pressure,average_travel_time,164.17,1,,,,,,,,,,,
2,3x3,alpha=0.5,Max-Pressure,average_waiting_time,44.51,1,,,,,,,,,,,
2,3x3,alpha=0.5,Max-Pressure,throughput,1144.0,1,,,,,,,,,,,
2,3x3,alpha=0.5,SCOOT,average_travel_time,195.86,1,,,,,,,,,,,
2,3x3,alpha=0.5,SCOOT,average_waiting_time,54.87,1,,,,,,,,,,,
2,3x3,alpha=0.5,SCOOT,throughput,819.0,1,,,,,,,,,,,
2,3x3,alpha=0.5,PressLight,average_travel_time,152.05,1,,,,,,,,,,,
2,3x3,alpha=0.5,PressLight,average_waiting_time,43.19,1,,,,,,,,,,,
2,3x3,alpha=0.5,PressLight,throughput,841.0,1,,,,,,,,,,,
2,3x3,alpha=0.5,MPLight,average_travel_time,149.56,1,,,,,,,,,,,
2,3x3,alpha=0.5,MPLight,average_waiting_time,40.17,1,,,,,,,,,,,
2,3x3,alpha=0.5,MPLight,throughput,1026.0,1,,,,,,,,,,,
2,3x3,alpha=0.5,CoLight,average_travel_time,157.45,1,,,,,,,,,,,
2,3x3,alpha=0.5,CoLight,average_waiting_time,42.81,1,,,,,,,,,,,
2,3x3,alpha=0.5,CoLight,throughput,1202.0,1,,,,,,,,,,,
2,3x3,alpha=0.5,QAOA,average_travel_time,170.50799999999998,20,167.0764625,174.12256250000002,,,,,,,,,
2,3x3,alpha=0.5,QAOA,average_waiting_time,42.365,20,41.933975,42.811525,,,,,,,,,
2,3x3,alpha=0.5,QAOA,throughput,1138.85,20,1122.64875,1155.1512500000001,,,,,,,,,
2,3x3,alpha=0.7,Fixed-Time,average_travel_time,227.21,1,,,,,,,,,,,
2,3x3,alpha=0.7,Fixed-Time,average_waiting_time,56.07,1,,,,,,,,,,,
2,3x3,alpha=0.7,Fixed-Time,throughput,750.0,1,,,,,,,,,,,
2,3x3,alpha=0.7,Classical Local,average_travel_time,182.23,1,,,,,,,,,,,
2,3x3,alpha=0.7,Classical Local,average_waiting_time,44.21,1,,,,,,,,,,,
2,3x3,alpha=0.7,Classical Local,throughput,944.0,1,,,,,,,,,,,
2,3x3,alpha=0.7,Classical Global,average_travel_time,196.47,1,,,,,,,,,,,
2,3x3,alpha=0.7,Classical Global,average_waiting_time,43.54,1,,,,,,,,,,,
2,3x3,alpha=0.7,Classical Global,throughput,940.0,1,,,,,,,,,,,
2,3x3,alpha=0.7,Max-Pressure,average_travel_time,200.24,1,,,,,,,,,,,
2,3x3,alpha=0.7,Max-Pressure,average_waiting_time,47.16,1,,,,,,,,,,,
2,3x3,alpha=0.7,Max-Pressure,throughput,925.0,1,,,,,,,,,,,
2,3x3,alpha=0.7,SCOOT,average_travel_time,227.22,1,,,,,,,,,,,
2,3x3,alpha=0.7,SCOOT,average_waiting_time,55.92,1,,,,,,,,,,,
