table,grid,condition,item,metric,value,n,ci_low,ci_high,standard_deviation,minimum,maximum,qaoa_mean,exact_global,hedges_g,median,level,rank
6,3x3,alpha=0.7,QAOA optimization quality,optimum_recovery_rate,0.4141666666666667,20,0.3985000000000001,0.4309166666666666,,,,,,,,,
7,3x3,alpha=0.7,gamma,average_travel_time,196.442,10,193.16836918113847,199.71563081886154,,,,,,,,1.396,
7,3x3,alpha=0.7,gamma,average_waiting_time,43.381,10,42.77129424713986,43.99070575286014,,,,,,,,1.396,
7,3x3,alpha=0.7,gamma,throughput,989.1,10,952.9016393958285,1025.2983606041714,,,,,,,,1.396,
7,3x3,alpha=0.7,gamma,average_optimality_gap,13.32293,10,12.611876349241964,14.033983650758035,,,,,,,,1.396,
7,3x3,alpha=0.7,gamma,optimum_recovery_rate,0.4335,10,0.41923210680701173,0.44776789319298826,,,,,,,,1.396,
7,3x3,alpha=0.7,gamma,average_travel_time,195.643,10,190.09675357977594,201.18924642022407,,,,,,,,2.443,
7,3x3,alpha=0.7,gamma,average_waiting_time,43.53,10,42.95314257237744,44.106857427622565,,,,,,,,2.443,
7,3x3,alpha=0.7,gamma,throughput,966.5,10,926.7674520130391,1006.2325479869609,,,,,,,,2.443,
7,3x3,alpha=0.7,gamma,average_optimality_gap,20.798186666666666,10,20.14088754372169,21.455485789611643,,,,,,,,2.443,
7,3x3,alpha=0.7,gamma,optimum_recovery_rate,0.35083333333333333,10,0.3358969838752236,0.36576968279144306,,,,,,,,2.443,
7,3x3,alpha=0.7,gamma,average_travel_time,195.399,10,191.8035389112714,198.9944610887286,,,,,,,,3.141592653589793,
7,3x3,alpha=0.7,gamma,average_waiting_time,43.606,10,43.029367350456845,44.18263264954316,,,,,,,,3.141592653589793,
7,3x3,alpha=0.7,gamma,throughput,992.0,10,967.7457569549971,1016.2542430450029,,,,,,,,3.141592653589793,
7,3x3,alpha=0.7,gamma,average_optimality_gap,25.309306666666668,10,23.287569720984568,27.33104361234877,,,,,,,,3.141592653589793,
7,3x3,alpha=0.7,gamma,optimum_recovery_rate,0.37616666666666665,10,0.35094971903069916,0.40138361430263414,,,,,,,,3.141592653589793,
7,3x3,alpha=0.7,beta,average_travel_time,197.40800000000002,10,192.96711596403327,201.84888403596676,,,,,,,,0.349,
7,3x3,alpha=0.7,beta,average_waiting_time,43.767,10,43.36237450616107,44.17162549383894,,,,,,,,0.349,
7,3x3,alpha=0.7,beta,throughput,962.0,10,924.63520413519,999.36479586481,,,,,,,,0.349,
7,3x3,alpha=0.7,beta,average_optimality_gap,23.275423333333332,10,21.74918827920819,24.801658387458474,,,,,,,,0.349,
7,3x3,alpha=0.7,beta,optimum_recovery_rate,0.399,10,0.3707904239465804,0.42720957605341964,,,,,,,,0.349,
7,3x3,alpha=0.7,beta,average_travel_time,195.399,10,191.8035389112714,198.9944610887286,,,,,,,,0.5235987755982988,
7,3x3,alpha=0.7,beta,average_waiting_time,43.606,10,43.029367350456845,44.18263264954316,,,,,,,,0.5235987755982988,
7,3x3,alpha=0.7,beta,throughput,992.0,10,967.7457569549971,1016.2542430450029,,,,,,,,0.5235987755982988,
7,3x3,alpha=0.7,beta,average_optimality_gap,25.309306666666668,10,23.287569720984568,27.33104361234877,,,,,,,,0.5235987755982988,
7,3x3,alpha=0.7,beta,optimum_recovery_rate,0.37616666666666665,10,0.35094971903069916,0.40138361430263414,,,,,,,,0.5235987755982988,
7,3x3,alpha=0.7,beta,average_travel_time,193.498,10,188.4675046667658,198.5284953332342,,,,,,,,0.873,
7,3x3,alpha=0.7,beta,average_waiting_time,43.814,10,43.23692379363863,44.39107620636137,,,,,,,,0.873,
7,3x3,alpha=0.7,beta,throughput,976.5,10,935.9922272404677,1017.0077727595323,,,,,,,,0.873,
7,3x3,alpha=0.7,beta,average_optimality_gap,9.415253333333334,10,8.609381992017482,10.221124674649186,,,,,,,,0.873,
7,3x3,alpha=0.7,beta,optimum_recovery_rate,0.5878333333333333,10,0.5610373480815933,0.6146293185850733,,,,,,,,0.873,
7,3x3,alpha=0.7,p,average_travel_time,196.235,10,191.0982759010966,201.37172409890343,,,,,,,,1.0,
7,3x3,alpha=0.7,p,average_waiting_time,43.466,10,42.76323940690017,44.16876059309983,,,,,,,,1.0,
7,3x3,alpha=0.7,p,throughput,996.5,10,969.7800409232584,1023.2199590767416,,,,,,,,1.0,
7,3x3,alpha=0.7,p,average_optimality_gap,31.456656666666664,10,30.551810206217105,32.36150312711622,,,,,,,,1.0,
7,3x3,alpha=0.7,p,optimum_recovery_rate,0.2723333333333333,10,0.2554142330522635,0.2892524336144031,,,,,,,,1.0,
7,3x3,alpha=0.7,p,average_travel_time,195.399,10,191.8035389112714,198.9944610887286,,,,,,,,2.0,
7,3x3,alpha=0.7,p,average_waiting_time,43.606,10,43.029367350456845,44.18263264954316,,,,,,,,2.0,
7,3x3,alpha=0.7,p,throughput,992.0,10,967.7457569549971,1016.2542430450029,,,,,,,,2.0,
7,3x3,alpha=0.7,p,average_optimality_gap,25.309306666666668,10,23.287569720984568,27.33104361234877,,,,,,,,2.0,
7,3x3,alpha=0.7,p,optimum_recovery_rate,0.37616666666666665,10,0.35094971903069916,0.40138361430263414,,,,,,,,2.0,
7,3x3,alpha=0.7,p,average_travel_time,193.949,10,189.72432202044794,198.17367797955208,,,,,,,,3.0,
7,3x3,alpha=0.7,p,average_waiting_time,43.647,10,43.315301815068466,43.97869818493153,,,,,,,,3.0,
7,3x3,alpha=0.7,p,throughput,969.4,10,944.6509961183323,994.1490038816677,,,,,,,,3.0,
7,3x3,alpha=0.7,p,average_optimality_gap,16.662883333333333,10,15.277782937079628,18.04798372958704,,,,,,,,3.0,
7,3x3,alpha=0.7,p,optimum_recovery_rate,0.4435,10,0.40153702717058115,0.48546297282941886,,,,,,,,3.0,
7,3x3,alpha=0.7,shots,average_travel_time,195.24,10,191.79125610544017,198.68874389455985,,,,,,,,200.0,
7,3x3,alpha=0.7,shots,average_waiting_time,43.652,10,43.2058099604415,44.0981900395585,,,,,,,,200.0,
7,3x3,alpha=0.7,shots,throughput,977.8,10,953.7605088589704,1001.8394911410295,,,,,,,,200.0,
7,3x3,alpha=0.7,shots,average_optimality_gap,32.31865333333333,10,29.995717955632383,34.641588711034274,,,,,,,,200.0,
7,3x3,alpha=0.7,shots,optimum_recovery_rate,0.2763333333333333,10,0.2599588381029633,0.29270782856370336,,,,,,,,200.0,
7,3x3,alpha=0.7,shots,average_travel_time,195.399,10,191.8035389112714,198.9944610887286,,,,,,,,512.0,
7,3x3,alpha=0.7,shots,average_waiting_time,43.606,10,43.029367350456845,44.18263264954316,,,,,,,,512.0,
7,3x3,alpha=0.7,shots,throughput,992.0,10,967.7457569549971,1016.2542430450029,,,,,,,,512.0,
7,3x3,alpha=0.7,shots,average_optimality_gap,25.309306666666668,10,23.287569720984568,27.33104361234877,,,,,,,,512.0,
7,3x3,alpha=0.7,shots,optimum_recovery_rate,0.37616666666666665,10,0.35094971903069916,0.40138361430263414,,,,,,,,512.0,
7,3x3,alpha=0.7,shots,average_travel_time,195.692,10,189.813062718444,201.570937281556,,,,,,,,1000.0,
7,3x3,alpha=0.7,shots,average_waiting_time,43.726,10,43.07378875586086,44.37821124413914,,,,,,,,1000.0,
7,3x3,alpha=0.7,shots,throughput,964.9,10,925.8106223336359,1003.989377666364,,,,,,,,1000.0,
7,3x3,alpha=0.7,shots,average_optimality_gap,19.23094,10,17.954377479992065,20.507502520007936,,,,,,,,1000.0,
7,3x3,alpha=0.7,shots,optimum_recovery_rate,0.48133333333333334,10,0.45695878686257413,0.5057078798040925,,,,,,,,1000.0,
8,3x3,alpha=0.7,Ideal / no noise,average_travel_time,197.496,20,,,,,,,,,,0.0,
8,3x3,alpha=0.7,Ideal / no noise,average_waiting_time,43.746,20,,,,,,,,,,0.0,
8,3x3,alpha=0.7,Ideal / no noise,throughput,979.9,20,,,,,,,,,,0.0,
8,3x3,alpha=0.7,Ideal / no noise,average_optimality_gap,23.323446666666666,20,,,,,,,,,,0.0,
8,3x3,alpha=0.7,Ideal / no noise,optimum_recovery_rate,0.4141666666666667,20,,,,,,,,,,0.0,
8,3x3,alpha=0.7,Angle perturbation,average_travel_time,200.351,10,196.27574308735782,204.42625691264217,,,,,,,,0.025,
8,3x3,alpha=0.7,Angle perturbation,average_waiting_time,44.234,10,43.739061278116594,44.72893872188341,,,,,,,,0.025,
8,3x3,alpha=0.7,Angle perturbation,throughput,973.2,10,948.3739219568083,998.0260780431918,,,,,,,,0.025,
8,3x3,alpha=0.7,Angle perturbation,average_optimality_gap,29.55233666666667,10,28.799686295329728,30.30498703800361,,,,,,,,0.025,
8,3x3,alpha=0.7,Angle perturbation,optimum_recovery_rate,0.3486666666666667,10,0.3305171214620556,0.3668162118712778,,,,,,,,0.025,
8,3x3,alpha=0.7,Angle perturbation,average_travel_time,197.559,10,192.68572661374756,202.43227338625243,,,,,,,,0.05,
8,3x3,alpha=0.7,Angle perturbation,average_waiting_time,43.851,10,43.22735313237855,44.474646867621445,,,,,,,,0.05,
8,3x3,alpha=0.7,Angle perturbation,throughput,975.3,10,933.6055423508805,1016.9944576491195,,,,,,,,0.05,
8,3x3,alpha=0.7,Angle perturbation,average_optimality_gap,27.212266666666668,10,26.442998530591577,27.98153480274176,,,,,,,,0.05,
8,3x3,alpha=0.7,Angle perturbation,optimum_recovery_rate,0.354,10,0.3409007896483236,0.36709921035167636,,,,,,,,0.05,
8,3x3,alpha=0.7,Angle perturbation,average_travel_time,195.052,10,187.95573307792915,202.14826692207083,,,,,,,,0.1,
8,3x3,alpha=0.7,Angle perturbation,average_waiting_time,43.757999999999996,10,43.05908012297677,44.45691987702322,,,,,,,,0.1,
8,3x3,alpha=0.7,Angle perturbation,throughput,950.3,10,885.2859506514707,1015.3140493485292,,,,,,,,0.1,
8,3x3,alpha=0.7,Angle perturbation,average_optimality_gap,21.408083333333334,10,20.666474470660166,22.1496921960065,,,,,,,,0.1,
8,3x3,alpha=0.7,Angle perturbation,optimum_recovery_rate,0.4038333333333333,10,0.3919898031058189,0.41567686356084776,,,,,,,,0.1,
8,3x3,alpha=0.7,Depolarizing,average_travel_time,198.028,10,193.9865625542332,202.0694374457668,,,,,,,,0.005,
8,3x3,alpha=0.7,Depolarizing,average_waiting_time,43.797,10,43.329037163200944,44.26496283679905,,,,,,,,0.005,
8,3x3,alpha=0.7,Depolarizing,throughput,998.3,10,977.7099524199405,1018.8900475800594,,,,,,,,0.005,
8,3x3,alpha=0.7,Depolarizing,average_optimality_gap,17.906903333333332,10,16.710165011555656,19.10364165511101,,,,,,,,0.005,
8,3x3,alpha=0.7,Depolarizing,optimum_recovery_rate,0.465,10,0.4405788432841354,0.48942115671586467,,,,,,,,0.005,
8,3x3,alpha=0.7,Depolarizing,average_travel_time,197.464,10,192.88004373571403,202.04795626428597,,,,,,,,0.01,
8,3x3,alpha=0.7,Depolarizing,average_waiting_time,43.802,10,43.4117708141731,44.192229185826896,,,,,,,,0.01,
8,3x3,alpha=0.7,Depolarizing,throughput,978.5,10,943.6447516316274,1013.3552483683726,,,,,,,,0.01,
8,3x3,alpha=0.7,Depolarizing,average_optimality_gap,16.064056666666666,10,14.548015698216457,17.580097635116875,,,,,,,,0.01,
8,3x3,alpha=0.7,Depolarizing,optimum_recovery_rate,0.48133333333333334,10,0.45790371942251074,0.5047629472441559,,,,,,,,0.01,
8,3x3,alpha=0.7,Depolarizing,average_travel_time,197.697,10,193.88516431935219,201.50883568064782,,,,,,,,0.02,
8,3x3,alpha=0.7,Depolarizing,average_waiting_time,44.050000000000004,10,43.739828659122416,44.36017134087759,,,,,,,,0.02,
8,3x3,alpha=0.7,Depolarizing,throughput,973.6,10,949.7495261436829,997.4504738563171,,,,,,,,0.02,
8,3x3,alpha=0.7,Depolarizing,average_optimality_gap,11.982786666666666,10,11.146344835461457,12.819228497871874,,,,,,,,0.02,
8,3x3,alpha=0.7,Depolarizing,optimum_recovery_rate,0.5461666666666667,10,0.5321827734300406,0.5601505599032928,,,,,,,,0.02,
8,3x3,alpha=0.7,Readout,average_travel_time,200.194,10,196.41583931350524,203.97216068649473,,,,,,,,0.01,
8,3x3,alpha=0.7,Readout,average_waiting_time,44.027,10,43.55619047083176,44.497809529168244,,,,,,,,0.01,
8,3x3,alpha=0.7,Readout,throughput,963.3,10,935.2738923434114,991.3261076565885,,,,,,,,0.01,
8,3x3,alpha=0.7,Readout,average_optimality_gap,23.37114,10,21.561820489030605,25.180459510969396,,,,,,,,0.01,
8,3x3,alpha=0.7,Readout,optimum_recovery_rate,0.40800000000000003,10,0.3848825596376323,0.43111744036236777,,,,,,,,0.01,
8,3x3,alpha=0.7,Readout,average_travel_time,196.604,10,192.80472664315124,200.40327335684879,,,,,,,,0.02,
8,3x3,alpha=0.7,Readout,average_waiting_time,43.949,10,43.402424397671545,44.49557560232845,,,,,,,,0.02,
8,3x3,alpha=0.7,Readout,throughput,977.6,10,955.2943213502342,999.9056786497658,,,,,,,,0.02,
8,3x3,alpha=0.7,Readout,average_optimality_gap,20.68575,10,18.7596015554266,22.6118984445734,,,,,,,,0.02,
8,3x3,alpha=0.7,Readout,optimum_recovery_rate,0.43316666666666664,10,0.407291877282953,0.45904145605038027,,,,,,,,0.02,
8,3x3,alpha=0.7,Readout,average_travel_time,197.089,10,192.09637349046702,202.08162650953298,,,,,,,,0.05,
8,3x3,alpha=0.7,Readout,average_waiting_time,43.925000000000004,10,43.13139260738161,44.718607392618395,,,,,,,,0.05,
8,3x3,alpha=0.7,Readout,throughput,983.4,10,950.82319375525,1015.9768062447499,,,,,,,,0.05,
8,3x3,alpha=0.7,Readout,average_optimality_gap,19.263956666666665,10,17.058300982469543,21.469612350863787,,,,,,,,0.05,
8,3x3,alpha=0.7,Readout,optimum_recovery_rate,0.45216666666666666,10,0.42199384047012056,0.48233949286321276,,,,,,,,0.05,
9,2x2,alpha=0.7,Fixed-Time,average_travel_time,104.29,1,,,,,,,,,,,8
9,2x2,alpha=0.7,Fixed-Time,average_waiting_time,46.47,1,,,,,,,,,,,8
9,2x2,alpha=0.7,Fixed-Time,throughput,826.0,1,,,,,,,,,,,8
9,3x3,alpha=0.7,Fixed-Time,average_travel_time,227.21,1,,,,,,,,,,,8
9,3x3,alpha=0.7,Fixed-Time,average_waiting_time,56.07,1,,,,,,,,,,,9
9,3x3,alpha=0.7,Fixed-Time,throughput,750.0,1,,,,,,,,,,,8
9,3x3,Seattle full-day,Fixed-Time,average_travel_time,193.46,1,,,,,,,,,,,9
9,3x3,Seattle full-day,Fixed-Time,average_waiting_time,54.04,1,,,,,,,,,,,9
9,3x3,Seattle full-day,Fixed-Time,throughput,85529.0,1,,,,,,,,,,,9
9,2x2,alpha=0.7,Classical Local,average_travel_time,97.47,1,,,,,,,,,,,7
9,2x2,alpha=0.7,Classical Local,average_waiting_time,39.29,1,,,,,,,,,,,6
9,2x2,alpha=0.7,Classical Local,throughput,941.0,1,,,,,,,,,,,4
9,3x3,alpha=0.7,Classical Local,average_travel_time,182.23,1,,,,,,,,,,,1
9,3x3,alpha=0.7,Classical Local,average_waiting_time,44.21,1,,,,,,,,,,,3
9,3x3,alpha=0.7,Classical Local,throughput,944.0,1,,,,,,,,,,,4
9,3x3,Seattle full-day,Classical Local,average_travel_time,95.47,1,,,,,,,,,,,6
9,3x3,Seattle full-day,Classical Local,average_waiting_time,31.68,1,,,,,,,,,,,6
9,3x3,Seattle full-day,Classical Local,throughput,96617.0,1,,,,,,,,,,,4
9,2x2,alpha=0.7,Classical Global,average_travel_time,97.37,1,,,,,,,,,,,6
9,2x2,alpha=0.7,Classical Global,average_waiting_time,39.01,1,,,,,,,,,,,3
9,2x2,alpha=0.7,Classical Global,throughput,928.0,1,,,,,,,,,,,5
9,3x3,alpha=0.7,Classical Global,average_travel_time,196.47,1,,,,,,,,,,,4
9,3x3,alpha=0.7,Classical Global,average_waiting_time,43.54,1,,,,,,,,,,,1
9,3x3,alpha=0.7,Classical Global,throughput,940.0,1,,,,,,,,,,,5
9,3x3,Seattle full-day,Classical Global,average_travel_time,94.45,1,,,,,,,,,,,4
9,3x3,Seattle full-day,Classical Global,average_waiting_time,30.18,1,,,,,,,,,,,4
9,3x3,Seattle full-day,Classical Global,throughput,95627.0,1,,,,,,,,,,,7
9,2x2,alpha=0.7,Max-Pressure,average_travel_time,96.96,1,,,,,,,,,,,5
9,2x2,alpha=0.7,Max-Pressure,average_waiting_time,39.11,1,,,,,,,,,,,4
9,2x2,alpha=0.7,Max-Pressure,throughput,906.0,1,,,,,,,,,,,7
9,3x3,alpha=0.7,Max-Pressure,average_travel_time,200.24,1,,,,,,,,,,,6
9,3x3,alpha=0.7,Max-Pressure,average_waiting_time,47.16,1,,,,,,,,,,,6
9,3x3,alpha=0.7,Max-Pressure,throughput,925.0,1,,,,,,,,,,,6
9,3x3,Seattle full-day,Max-Pressure,average_travel_time,93.66,1,,,,,,,,,,,3
9,3x3,Seattle full-day,Max-Pressure,average_waiting_time,29.24,1,,,,,,,,,,,3
9,3x3,Seattle full-day,Max-Pressure,throughput,96645.0,1,,,,,,,,,,,3
9,2x2,alpha=0.7,SCOOT,average_travel_time,108.0,1,,,,,,,,,,,9
9,2x2,alpha=0.7,SCOOT,average_waiting_time,46.84,1,,,,,,,,,,,9
9,2x2,alpha=0.7,SCOOT,throughput,810.0,1,,,,,,,,,,,9
9,3x3,alpha=0.7,SCOOT,average_travel_time,227.22,1,,,,,,,,,,,9
9,3x3,alpha=0.7,SCOOT,average_waiting_time,55.92,1,,,,,,,,,,,8
9,3x3,alpha=0.7,SCOOT,throughput,664.0,1,,,,,,,,,,,9
9,3x3,Seattle full-day,SCOOT,average_travel_time,140.77,1,,,,,,,,,,,8
9,3x3,Seattle full-day,SCOOT,average_waiting_time,46.28,1,,,,,,,,,,,8
9,3x3,Seattle full-day,SCOOT,throughput,97809.0,1,,,,,,,,,,,1
9,2x2,alpha=0.7,PressLight,average_travel_time,94.97,1,,,,,,,,,,,2
9,2x2,alpha=0.7,PressLight,average_waiting_time,39.28,1,,,,,,,,,,,5
9,2x2,alpha=0.7,PressLight,throughput,922.0,1,,,,,,,,,,,6
9,3x3,alpha=0.7,PressLight,average_travel_time,210.47,1,,,,,,,,,,,7
9,3x3,alpha=0.7,PressLight,average_waiting_time,48.7,1,,,,,,,,,,,7
9,3x3,alpha=0.7,PressLight,throughput,784.0,1,,,,,,,,,,,7
9,3x3,Seattle full-day,PressLight,average_travel_time,110.56,1,,,,,,,,,,,7
9,3x3,Seattle full-day,PressLight,average_waiting_time,37.85,1,,,,,,,,,,,7
9,3x3,Seattle full-day,PressLight,throughput,97261.0,1,,,,,,,,,,,2
9,2x2,alpha=0.7,MPLight,average_travel_time,96.73,1,,,,,,,,,,,4
9,2x2,alpha=0.7,MPLight,average_waiting_time,39.45,1,,,,,,,,,,,7
9,2x2,alpha=0.7,MPLight,throughput,958.0,1,,,,,,,,,,,2
9,3x3,alpha=0.7,MPLight,average_travel_time,191.92,1,,,,,,,,,,,3
9,3x3,alpha=0.7,MPLight,average_waiting_time,45.59,1,,,,,,,,,,,5
9,3x3,alpha=0.7,MPLight,throughput,946.0,1,,,,,,,,,,,3
9,3x3,Seattle full-day,MPLight,average_travel_time,95.02,1,,,,,,,,,,,5
9,3x3,Seattle full-day,MPLight,average_waiting_time,30.65,1,,,,,,,,,,,5
9,3x3,Seattle full-day,MPLight,throughput,96316.0,1,,,,,,,,,,,5
9,2x2,alpha=0.7,CoLight,average_travel_time,89.54,1,,,,,,,,,,,1
9,2x2,alpha=0.7,CoLight,average_waiting_time,36.85,1,,,,,,,,,,,1
9,2x2,alpha=0.7,CoLight,throughput,961.0,1,,,,,,,,,,,1
9,3x3,alpha=0.7,CoLight,average_travel_time,185.92,1,,,,,,,,,,,2
9,3x3,alpha=0.7,CoLight,average_waiting_time,44.5,1,,,,,,,,,,,4
9,3x3,alpha=0.7,CoLight,throughput,978.0,1,,,,,,,,,,,2
9,3x3,Seattle full-day,CoLight,average_travel_time,90.76,1,,,,,,,,,,,1
9,3x3,Seattle full-day,CoLight,average_waiting_time,27.88,1,,,,,,,,,,,1
9,3x3,Seattle full-day,CoLight,throughput,95761.0,1,,,,,,,,,,,6
9,2x2,alpha=0.7,QAOA,average_travel_time,96.3935,20,,,,,,,,,,,3
9,2x2,alpha=0.7,QAOA,average_waiting_time,38.6625,20,,,,,,,,,,,2
9,2x2,alpha=0.7,QAOA,throughput,942.35,20,,,,,,,,,,,3
9,3x3,alpha=0.7,QAOA,average_travel_time,197.496,20,,,,,,,,,,,5
9,3x3,alpha=0.7,QAOA,average_waiting_time,43.746,20,,,,,,,,,,,2
9,3x3,alpha=0.7,QAOA,throughput,979.9,20,,,,,,,,,,,1
9,3x3,Seattle full-day,QAOA,average_travel_time,92.9595,20,,,,,,,,,,,2
9,3x3,Seattle full-day,QAOA,average_waiting_time,28.395,20,,,,,,,,,,,2
9,3x3,Seattle full-day,QAOA,throughput,95594.35,20,,,,,,,,,,,8
