network,alpha,n_runs,decisions_per_run,mean_recovery_probability,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_resamples,bootstrap_seed
2x2,0.0,20,600,0.9898333333333331,0.9881666666666666,0.9914166666666666,10000,20260901
2x2,0.1,20,600,0.99075,0.9894166666666667,0.992,10000,20260901
2x2,0.2,20,600,0.9901666666666665,0.9883333333333333,0.9918333333333333,10000,20260901
2x2,0.3,20,600,0.9908333333333333,0.9894166666666665,0.99225,10000,20260901
2x2,0.4,20,600,0.9919166666666668,0.9901666666666668,0.9935833333333335,10000,20260901
2x2,0.5,20,600,0.9935833333333333,0.9920833333333332,0.9950000000000001,10000,20260901
2x2,0.6,20,600,0.9950833333333332,0.9937499999999998,0.9962500000000001,10000,20260901
2x2,0.7,20,600,0.9940000000000001,0.993,0.9950000000000001,10000,20260901
2x2,0.8,20,600,0.9919166666666666,0.9909166666666666,0.9928354166666667,10000,20260901
2x2,0.9,20,600,0.998,0.9970833333333335,0.9988333333333334,10000,20260901
2x2,1.0,20,600,0.9966666666666667,0.9958333333333332,0.9974999999999999,10000,20260901
3x3,0.0,20,600,0.4341666666666667,0.3821645833333333,0.49683749999999993,10000,20260901
3x3,0.1,20,600,0.43375,0.42383333333333334,0.44333333333333336,10000,20260901
3x3,0.2,20,600,0.42974999999999997,0.4183333333333333,0.4418333333333333,10000,20260901
3x3,0.3,20,600,0.4366666666666667,0.42158124999999996,0.45216874999999995,10000,20260901
3x3,0.4,20,600,0.40391666666666665,0.38725000000000004,0.4203333333333334,10000,20260901
3x3,0.5,20,600,0.40750000000000003,0.39,0.42458333333333326,10000,20260901
3x3,0.6,20,600,0.41274999999999995,0.39658333333333334,0.42808333333333326,10000,20260901
3x3,0.7,20,600,0.4141666666666667,0.39899999999999997,0.43125,10000,20260901
3x3,0.8,20,600,0.4100833333333334,0.3963333333333333,0.4244166666666668,10000,20260901
3x3,0.9,20,600,0.3966666666666666,0.38324791666666663,0.41075,10000,20260901
3x3,1.0,20,600,0.52325,0.46583125,0.5783333333333334,10000,20260901
