network,traffic_metric,n_runs,alpha_conditions_controlled,within_alpha_pearson_r,within_alpha_r_df,within_alpha_r_p_value,ols_slope_on_centered_data,ols_intercept_on_centered_data,r_squared
2x2,average_travel_time,220,11,0.29468097420021144,208,1.4142196304788732e-05,4.647497199479662,2.19299815244172e-15,0.08683687655558568
2x2,average_waiting_time,220,11,0.2801149401504434,208,3.825721096487674e-05,1.8129788760953454,-4.69570264467191e-16,0.0784643796954865
2x2,throughput,220,11,-0.28434054041563994,208,2.882570435208656e-05,-44.34579327130352,2.097804488579709e-15,0.08084954292385817
3x3,average_travel_time,220,11,-0.05148643265879294,208,0.4579974546985087,-0.09201045135782016,2.1538366646118163e-15,0.0026508527479284206
3x3,average_waiting_time,220,11,-0.03335107960090398,208,0.6308348905910907,-0.008558426838177771,-1.786307776159271e-15,0.0011122945105458335
3x3,throughput,220,11,-0.14787625509047267,208,0.03219913234954825,-1.9241302225508758,-1.8773465626891406e-14,0.021867386819582543
